[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4  SW=260.9  LSW=331.9
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-all8-s303 regimes=['N', 'L', 'S', 'W', 'LS', 'LW', 'SW', 'LSW'] updates=2000
Ep 1	 reward -15.793	 ms 221.1	 loss 1.100511	 4.7s
Ep 2	 reward -15.732	 ms 220.2	 loss 0.937485	 4.3s
Ep 3	 reward -15.661	 ms 219.2	 loss 1.061994	 4.2s
Ep 4	 reward -15.800	 ms 221.2	 loss 1.028957	 4.2s
Ep 5	 reward -15.839	 ms 221.8	 loss 0.959606	 4.2s
Ep 6	 reward -15.746	 ms 220.4	 loss 0.800991	 4.2s
Ep 7	 reward -15.786	 ms 221.0	 loss 0.659814	 4.2s
Ep 8	 reward -15.893	 ms 222.5	 loss 0.712707	 4.2s
Ep 9	 reward -15.854	 ms 221.9	 loss 0.476718	 4.2s
Ep 10	 reward -15.861	 ms 222.1	 loss 0.516008	 4.2s
Ep 11	 reward -15.814	 ms 221.4	 loss 0.293601	 4.1s
Ep 12	 reward -15.600	 ms 218.4	 loss 0.259736	 4.2s
Ep 13	 reward -15.693	 ms 219.7	 loss 0.365484	 4.1s
Ep 14	 reward -15.782	 ms 220.9	 loss 0.247307	 4.2s
Ep 15	 reward -15.932	 ms 223.1	 loss 0.381809	 4.3s
Ep 16	 reward -15.689	 ms 219.7	 loss 0.197078	 4.2s
Ep 17	 reward -15.518	 ms 217.2	 loss 0.256480	 4.1s
Ep 18	 reward -15.832	 ms 221.7	 loss 0.280431	 4.2s
Ep 19	 reward -15.654	 ms 219.2	 loss 0.233441	 4.2s
Ep 20	 reward -15.646	 ms 219.1	 loss 0.314321	 4.1s
Ep 21	 reward -15.496	 ms 216.9	 loss 0.123812	 4.2s
Ep 22	 reward -15.486	 ms 216.8	 loss 0.188426	 4.2s
Ep 23	 reward -15.557	 ms 217.8	 loss 0.304329	 4.1s
Ep 24	 reward -15.564	 ms 217.9	 loss 0.379833	 4.1s
[vali @25] rel=0.8752 (best 0.8752)  N=133.9  L=213.1  S=195.1  W=153.1  LS=272.3  LW=223.1  SW=218.0  LSW=288.8
Ep 25	 reward -15.604	 ms 218.4	 loss 0.133209	 19.5s
Ep 26	 reward -15.664	 ms 219.3	 loss 0.237529	 4.1s
Ep 27	 reward -15.625	 ms 218.8	 loss 0.324273	 4.1s
Ep 28	 reward -15.493	 ms 216.9	 loss 0.103114	 4.2s
Ep 29	 reward -15.550	 ms 217.7	 loss 0.156773	 4.1s
Ep 30	 reward -15.675	 ms 219.4	 loss 0.130747	 4.1s
Ep 31	 reward -15.650	 ms 219.1	 loss 0.105139	 4.2s
Ep 32	 reward -15.536	 ms 217.5	 loss 0.236377	 4.0s
Ep 33	 reward -15.504	 ms 217.1	 loss 0.282292	 4.0s
Ep 34	 reward -15.546	 ms 217.7	 loss 0.130977	 4.1s
Ep 35	 reward -15.493	 ms 216.9	 loss 0.175839	 4.1s
Ep 36	 reward -15.439	 ms 216.2	 loss 0.133617	 4.2s
Ep 37	 reward -15.679	 ms 219.5	 loss 0.271706	 4.3s
Ep 38	 reward -15.607	 ms 218.5	 loss 0.070873	 4.2s
Ep 39	 reward -15.525	 ms 217.3	 loss 0.299603	 4.2s
Ep 40	 reward -15.636	 ms 218.9	 loss 0.168387	 4.3s
Ep 41	 reward -15.586	 ms 218.2	 loss 0.265571	 4.4s
Ep 42	 reward -15.432	 ms 216.1	 loss 0.130930	 4.2s
Ep 43	 reward -15.589	 ms 218.2	 loss 0.179712	 4.3s
Ep 44	 reward -15.475	 ms 216.7	 loss 0.245216	 4.3s
Ep 45	 reward -15.689	 ms 219.7	 loss 0.452617	 4.3s
Ep 46	 reward -15.579	 ms 218.1	 loss 0.296215	 4.2s
Ep 47	 reward -15.504	 ms 217.1	 loss 0.222091	 4.3s
Ep 48	 reward -15.343	 ms 214.8	 loss 0.256048	 4.3s
Ep 49	 reward -15.454	 ms 216.3	 loss 0.398528	 4.2s
[vali @50] rel=0.8654 (best 0.8654)  N=132.2  L=210.1  S=192.6  W=150.8  LS=268.6  LW=221.8  SW=216.2  LSW=286.6
Ep 50	 reward -15.525	 ms 217.3	 loss 0.325865	 19.9s
Ep 51	 reward -15.282	 ms 213.9	 loss 0.151903	 4.2s
Ep 52	 reward -15.296	 ms 214.2	 loss 0.186641	 4.3s
Ep 53	 reward -15.504	 ms 217.1	 loss 0.445297	 4.3s
Ep 54	 reward -15.446	 ms 216.2	 loss 0.313366	 4.3s
Ep 55	 reward -15.593	 ms 218.3	 loss 0.208132	 4.2s
Ep 56	 reward -15.446	 ms 216.2	 loss 0.356188	 4.3s
Ep 57	 reward -15.382	 ms 215.3	 loss 0.173872	 4.3s
Ep 58	 reward -15.429	 ms 216.0	 loss 0.135229	 4.3s
Ep 59	 reward -15.414	 ms 215.8	 loss 0.269282	 4.2s
Ep 60	 reward -15.257	 ms 213.6	 loss 0.137360	 4.2s
Ep 61	 reward -15.414	 ms 215.8	 loss 0.406035	 4.2s
Ep 62	 reward -15.421	 ms 215.9	 loss 0.194562	 4.3s
Ep 63	 reward -15.468	 ms 216.6	 loss 0.276364	 4.2s
Ep 64	 reward -15.471	 ms 216.6	 loss 0.184372	 4.2s
Ep 65	 reward -15.575	 ms 218.1	 loss 0.113048	 4.2s
Ep 66	 reward -15.529	 ms 217.4	 loss 0.184373	 4.2s
Ep 67	 reward -15.546	 ms 217.7	 loss 0.096456	 4.2s
Ep 68	 reward -15.475	 ms 216.7	 loss 0.077811	 4.2s
Ep 69	 reward -15.607	 ms 218.5	 loss 0.077160	 4.2s
Ep 70	 reward -15.604	 ms 218.4	 loss 0.088278	 4.2s
Ep 71	 reward -15.475	 ms 216.7	 loss 0.115708	 4.2s
Ep 72	 reward -15.361	 ms 215.1	 loss 0.140304	 4.1s
Ep 73	 reward -15.504	 ms 217.1	 loss 0.165112	 4.2s
Ep 74	 reward -15.557	 ms 217.8	 loss 0.365354	 4.2s
[vali @75] rel=0.8708 (best 0.8654)  N=133.4  L=211.3  S=194.2  W=153.5  LS=269.2  LW=221.7  SW=217.2  LSW=287.5
Ep 75	 reward -15.675	 ms 219.4	 loss 0.152601	 19.8s
Ep 76	 reward -15.479	 ms 216.7	 loss 0.220719	 4.1s
Ep 77	 reward -15.368	 ms 215.2	 loss 0.258572	 4.1s
Ep 78	 reward -15.589	 ms 218.2	 loss 0.287136	 4.1s
Ep 79	 reward -15.475	 ms 216.7	 loss 0.212206	 4.2s
Ep 80	 reward -15.682	 ms 219.6	 loss 0.311363	 4.1s
Ep 81	 reward -15.139	 ms 211.9	 loss 0.374387	 4.2s
Ep 82	 reward -15.132	 ms 211.8	 loss 0.182569	 4.0s
Ep 83	 reward -15.182	 ms 212.6	 loss 0.221950	 4.2s
Ep 84	 reward -15.193	 ms 212.7	 loss 0.195891	 4.2s
Ep 85	 reward -15.250	 ms 213.5	 loss 0.331800	 4.0s
Ep 86	 reward -15.304	 ms 214.2	 loss 0.157563	 4.2s
Ep 87	 reward -15.207	 ms 212.9	 loss 0.240733	 4.2s
