[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4  SW=260.9  LSW=331.9
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-all8e-s301 regimes=['N', 'L', 'S', 'W', 'LS', 'LW', 'SW', 'LSW'] updates=2667
Ep 1	 reward -15.793	 ms 221.1	 loss 0.956402	 4.7s
Ep 2	 reward -15.786	 ms 221.0	 loss 0.849522	 4.2s
Ep 3	 reward -15.596	 ms 218.3	 loss 0.788055	 4.1s
Ep 4	 reward -15.846	 ms 221.8	 loss 0.790614	 4.0s
Ep 5	 reward -16.186	 ms 226.6	 loss 0.794937	 4.1s
Ep 6	 reward -15.771	 ms 220.8	 loss 0.735004	 4.0s
Ep 7	 reward -15.996	 ms 223.9	 loss 0.744912	 4.0s
Ep 8	 reward -15.857	 ms 222.0	 loss 0.654613	 4.1s
Ep 9	 reward -15.921	 ms 222.9	 loss 0.383640	 4.1s
Ep 10	 reward -16.093	 ms 225.3	 loss 0.378482	 4.0s
Ep 11	 reward -16.225	 ms 227.2	 loss 0.428859	 4.0s
Ep 12	 reward -16.000	 ms 224.0	 loss 0.254258	 4.1s
Ep 13	 reward -15.986	 ms 223.8	 loss 0.196662	 4.2s
Ep 14	 reward -15.811	 ms 221.3	 loss 0.134624	 4.1s
Ep 15	 reward -15.968	 ms 223.6	 loss 0.158388	 4.1s
Ep 16	 reward -15.868	 ms 222.2	 loss 0.121605	 4.1s
Ep 17	 reward -15.996	 ms 223.9	 loss 0.152244	 4.1s
Ep 18	 reward -16.193	 ms 226.7	 loss 0.074957	 4.1s
Ep 19	 reward -16.096	 ms 225.3	 loss 0.206146	 4.3s
Ep 20	 reward -16.211	 ms 226.9	 loss 0.095142	 4.2s
Ep 21	 reward -15.993	 ms 223.9	 loss 0.271655	 4.2s
Ep 22	 reward -16.271	 ms 227.8	 loss 0.116164	 4.3s
Ep 23	 reward -16.343	 ms 228.8	 loss 0.406703	 4.2s
Ep 24	 reward -16.300	 ms 228.2	 loss 0.238338	 4.2s
[vali @25] rel=0.9325 (best 0.9325)  N=155.3  L=220.9  S=208.7  W=171.8  LS=277.2  LW=233.4  SW=228.9  LSW=296.4
Ep 25	 reward -15.925	 ms 222.9	 loss 0.310358	 19.7s
Ep 26	 reward -16.014	 ms 224.2	 loss 0.276057	 4.2s
Ep 27	 reward -16.139	 ms 225.9	 loss 0.284826	 4.2s
Ep 28	 reward -16.107	 ms 225.5	 loss 0.273944	 4.2s
Ep 29	 reward -16.114	 ms 225.6	 loss 0.244623	 4.2s
Ep 30	 reward -16.236	 ms 227.3	 loss 0.200813	 4.2s
Ep 31	 reward -16.268	 ms 227.8	 loss 0.260104	 4.2s
Ep 32	 reward -16.168	 ms 226.3	 loss 0.138144	 4.2s
Ep 33	 reward -16.354	 ms 228.9	 loss 0.139429	 4.2s
Ep 34	 reward -16.464	 ms 230.5	 loss 0.102812	 4.2s
Ep 35	 reward -16.175	 ms 226.4	 loss 0.334696	 4.2s
Ep 36	 reward -16.218	 ms 227.1	 loss 0.348590	 4.2s
Ep 37	 reward -16.314	 ms 228.4	 loss 0.203754	 4.2s
Ep 38	 reward -16.132	 ms 225.8	 loss 0.165287	 4.2s
Ep 39	 reward -16.221	 ms 227.1	 loss 0.329131	 4.2s
Ep 40	 reward -16.057	 ms 224.8	 loss 0.196671	 4.2s
Ep 41	 reward -16.246	 ms 227.4	 loss 0.267000	 4.2s
Ep 42	 reward -16.157	 ms 226.2	 loss 0.167159	 4.2s
Ep 43	 reward -16.396	 ms 229.6	 loss 0.279224	 4.1s
Ep 44	 reward -16.318	 ms 228.4	 loss 0.329227	 4.3s
Ep 45	 reward -16.307	 ms 228.3	 loss 0.273177	 4.2s
