[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=34322  film=0 (0.00%)
[train_family] model=10x25+family+joint-concat-s303 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -14.936	 ms 209.1	 loss 0.873257	 7.5s
Ep 2	 reward -14.986	 ms 209.8	 loss 0.785725	 6.4s
Ep 3	 reward -15.018	 ms 210.2	 loss 0.781743	 6.6s
Ep 4	 reward -15.021	 ms 210.3	 loss 0.868350	 6.6s
Ep 5	 reward -15.061	 ms 210.8	 loss 0.836552	 6.4s
Ep 6	 reward -14.861	 ms 208.1	 loss 0.648378	 6.6s
Ep 7	 reward -15.168	 ms 212.3	 loss 0.800479	 6.4s
Ep 8	 reward -15.093	 ms 211.3	 loss 0.710796	 6.6s
Ep 9	 reward -15.021	 ms 210.3	 loss 0.540005	 6.6s
Ep 10	 reward -15.057	 ms 210.8	 loss 0.635057	 6.7s
Ep 11	 reward -15.089	 ms 211.2	 loss 0.522163	 6.5s
Ep 12	 reward -15.082	 ms 211.2	 loss 0.485982	 6.5s
Ep 13	 reward -15.146	 ms 212.1	 loss 0.473282	 6.5s
Ep 14	 reward -15.175	 ms 212.4	 loss 0.439285	 6.6s
Ep 15	 reward -14.968	 ms 209.6	 loss 0.325617	 6.1s
Ep 16	 reward -15.025	 ms 210.3	 loss 0.324921	 6.0s
Ep 17	 reward -15.054	 ms 210.8	 loss 0.275443	 5.9s
Ep 18	 reward -15.207	 ms 212.9	 loss 0.349542	 6.5s
Ep 19	 reward -15.143	 ms 212.0	 loss 0.333337	 6.6s
Ep 20	 reward -15.000	 ms 210.0	 loss 0.282130	 6.5s
Ep 21	 reward -15.114	 ms 211.6	 loss 0.375814	 6.5s
Ep 22	 reward -14.986	 ms 209.8	 loss 0.337371	 6.5s
Ep 23	 reward -15.082	 ms 211.2	 loss 0.387103	 6.5s
Ep 24	 reward -15.164	 ms 212.3	 loss 0.452870	 6.5s
[vali @25] rel=0.8930 (best 0.8930)  N=133.9  L=218.9  S=196.9  W=149.9  LS=275.9  LW=231.5
Ep 25	 reward -15.175	 ms 212.4	 loss 0.406539	 27.6s
Ep 26	 reward -15.136	 ms 211.9	 loss 0.311134	 6.4s
Ep 27	 reward -15.043	 ms 210.6	 loss 0.343309	 6.5s
Ep 28	 reward -14.982	 ms 209.8	 loss 0.330205	 6.5s
Ep 29	 reward -15.029	 ms 210.4	 loss 0.376383	 6.5s
Ep 30	 reward -15.186	 ms 212.6	 loss 0.348648	 8.1s
Ep 31	 reward -14.929	 ms 209.0	 loss 0.371523	 6.5s
Ep 32	 reward -14.968	 ms 209.6	 loss 0.388391	 6.5s
Ep 33	 reward -14.757	 ms 206.6	 loss 0.290630	 6.6s
Ep 34	 reward -14.871	 ms 208.2	 loss 0.407286	 6.8s
Ep 35	 reward -14.889	 ms 208.4	 loss 0.339167	 6.6s
Ep 36	 reward -14.868	 ms 208.2	 loss 0.335824	 6.5s
Ep 37	 reward -14.964	 ms 209.5	 loss 0.345809	 6.5s
Ep 38	 reward -14.811	 ms 207.3	 loss 0.291482	 6.8s
Ep 39	 reward -14.936	 ms 209.1	 loss 0.368113	 6.8s
Ep 40	 reward -14.932	 ms 209.1	 loss 0.331529	 6.0s
Ep 41	 reward -14.793	 ms 207.1	 loss 0.514934	 6.0s
Ep 42	 reward -14.725	 ms 206.2	 loss 0.593479	 6.4s
Ep 43	 reward -14.754	 ms 206.6	 loss 0.510220	 6.4s
Ep 44	 reward -14.739	 ms 206.3	 loss 0.501577	 6.7s
Ep 45	 reward -14.600	 ms 204.4	 loss 0.479021	 6.5s
Ep 46	 reward -14.561	 ms 203.8	 loss 0.378743	 6.8s
Ep 47	 reward -14.725	 ms 206.2	 loss 0.467361	 6.5s
Ep 48	 reward -14.568	 ms 203.9	 loss 0.342888	 6.5s
Ep 49	 reward -14.636	 ms 204.9	 loss 0.373581	 6.5s
[vali @50] rel=0.8724 (best 0.8724)  N=131.5  L=213.6  S=192.3  W=147.5  LS=268.4  LW=224.9
Ep 50	 reward -14.575	 ms 204.1	 loss 0.300467	 27.9s
Ep 51	 reward -14.800	 ms 207.2	 loss 0.421819	 6.4s
Ep 52	 reward -14.564	 ms 203.9	 loss 0.252659	 7.1s
Ep 53	 reward -14.629	 ms 204.8	 loss 0.204570	 6.5s
Ep 54	 reward -14.350	 ms 200.9	 loss 0.164488	 6.7s
Ep 55	 reward -14.554	 ms 203.8	 loss 0.193686	 6.5s
Ep 56	 reward -14.511	 ms 203.2	 loss 0.348614	 6.5s
Ep 57	 reward -14.661	 ms 205.2	 loss 0.260897	 6.8s
Ep 58	 reward -14.543	 ms 203.6	 loss 0.224013	 6.4s
Ep 59	 reward -14.714	 ms 206.0	 loss 0.302653	 6.7s
Ep 60	 reward -14.661	 ms 205.2	 loss 0.310597	 6.5s
Ep 61	 reward -15.136	 ms 211.9	 loss 0.324295	 7.0s
Ep 62	 reward -15.436	 ms 216.1	 loss 0.289824	 6.5s
Ep 63	 reward -15.057	 ms 210.8	 loss 0.224658	 6.8s
Ep 64	 reward -15.243	 ms 213.4	 loss 0.238291	 6.5s
Ep 65	 reward -15.054	 ms 210.8	 loss 0.173646	 6.2s
Ep 66	 reward -15.239	 ms 213.3	 loss 0.274908	 6.0s
Ep 67	 reward -15.014	 ms 210.2	 loss 0.115625	 6.2s
Ep 68	 reward -15.082	 ms 211.2	 loss 0.216303	 6.2s
Ep 69	 reward -15.068	 ms 210.9	 loss 0.135062	 6.5s
Ep 70	 reward -15.021	 ms 210.3	 loss 0.222371	 6.7s
Ep 71	 reward -15.125	 ms 211.8	 loss 0.259503	 6.5s
Ep 72	 reward -14.971	 ms 209.6	 loss 0.225934	 6.5s
Ep 73	 reward -14.939	 ms 209.2	 loss 0.168845	 6.7s
Ep 74	 reward -14.932	 ms 209.1	 loss 0.226186	 6.5s
