[train_family] shaping envelope: delta_mode=max (INADMISSIBLE, tight)
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-deltamax-s301 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -14.932	 ms 209.1	 loss 0.616521	 9.0s
Ep 2	 reward -14.804	 ms 207.2	 loss 0.634258	 8.8s
Ep 3	 reward -14.900	 ms 208.6	 loss 0.453668	 9.3s
Ep 4	 reward -14.857	 ms 208.0	 loss 0.583958	 9.5s
Ep 5	 reward -14.732	 ms 206.2	 loss 0.537373	 10.1s
Ep 6	 reward -14.750	 ms 206.5	 loss 0.680397	 9.6s
Ep 7	 reward -14.736	 ms 206.3	 loss 0.734186	 9.8s
Ep 8	 reward -14.757	 ms 206.6	 loss 0.451867	 10.1s
Ep 9	 reward -14.632	 ms 204.8	 loss 0.478673	 9.7s
Ep 10	 reward -14.768	 ms 206.8	 loss 0.480601	 9.6s
Ep 11	 reward -14.557	 ms 203.8	 loss 0.383432	 9.2s
Ep 12	 reward -14.650	 ms 205.1	 loss 0.424415	 10.0s
Ep 13	 reward -14.439	 ms 202.2	 loss 0.315285	 10.1s
Ep 14	 reward -14.646	 ms 205.1	 loss 0.365112	 9.8s
Ep 15	 reward -14.704	 ms 205.8	 loss 0.263404	 9.8s
Ep 16	 reward -14.618	 ms 204.7	 loss 0.292989	 9.8s
Ep 17	 reward -14.639	 ms 204.9	 loss 0.255233	 9.4s
Ep 18	 reward -14.611	 ms 204.6	 loss 0.296775	 9.4s
Ep 19	 reward -14.518	 ms 203.2	 loss 0.215519	 9.3s
Ep 20	 reward -14.568	 ms 203.9	 loss 0.480273	 8.9s
Ep 21	 reward -14.379	 ms 201.3	 loss 0.340248	 10.1s
Ep 22	 reward -14.264	 ms 199.7	 loss 0.226278	 9.3s
Ep 23	 reward -14.432	 ms 202.1	 loss 0.183011	 9.6s
Ep 24	 reward -14.450	 ms 202.3	 loss 0.190407	 9.0s
[vali @25] rel=0.8823 (best 0.8823)  N=134.2  L=214.8  S=193.7  W=152.0  LS=271.4  LW=223.9
Ep 25	 reward -14.371	 ms 201.2	 loss 0.210967	 42.6s
Ep 26	 reward -14.329	 ms 200.6	 loss 0.260781	 9.1s
Ep 27	 reward -14.393	 ms 201.5	 loss 0.209446	 8.5s
Ep 28	 reward -14.214	 ms 199.0	 loss 0.132834	 10.0s
Ep 29	 reward -14.200	 ms 198.8	 loss 0.104012	 10.1s
Ep 30	 reward -14.154	 ms 198.2	 loss 0.184609	 10.7s
Ep 31	 reward -14.271	 ms 199.8	 loss 0.122967	 10.9s
Ep 32	 reward -14.321	 ms 200.5	 loss 0.191940	 10.4s
Ep 33	 reward -14.346	 ms 200.8	 loss 0.203155	 11.2s
Ep 34	 reward -14.393	 ms 201.5	 loss 0.094636	 10.2s
Ep 35	 reward -14.511	 ms 203.2	 loss 0.175474	 10.5s
Ep 36	 reward -14.350	 ms 200.9	 loss 0.130291	 10.7s
Ep 37	 reward -14.379	 ms 201.3	 loss 0.149010	 11.9s
Ep 38	 reward -14.429	 ms 202.0	 loss 0.125237	 10.9s
Ep 39	 reward -14.418	 ms 201.8	 loss 0.210409	 10.4s
