[train_family] shaping envelope: delta_mode=zero (admissible, loose)
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-deltazero-s302 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -15.432	 ms 216.1	 loss 1.223508	 7.7s
Ep 2	 reward -15.432	 ms 216.1	 loss 0.824831	 6.9s
Ep 3	 reward -15.286	 ms 214.0	 loss 0.669089	 7.2s
Ep 4	 reward -15.561	 ms 217.8	 loss 1.041033	 7.6s
Ep 5	 reward -15.471	 ms 216.6	 loss 1.107517	 7.8s
Ep 6	 reward -15.150	 ms 212.1	 loss 1.047450	 8.9s
Ep 7	 reward -15.504	 ms 217.1	 loss 0.993388	 9.0s
Ep 8	 reward -15.500	 ms 217.0	 loss 0.862840	 9.0s
Ep 9	 reward -15.529	 ms 217.4	 loss 0.791192	 10.1s
Ep 10	 reward -15.261	 ms 213.7	 loss 0.715331	 9.7s
Ep 11	 reward -15.225	 ms 213.2	 loss 0.670060	 9.8s
Ep 12	 reward -15.464	 ms 216.5	 loss 0.569033	 9.9s
Ep 13	 reward -15.339	 ms 214.8	 loss 0.585241	 9.9s
Ep 14	 reward -15.468	 ms 216.6	 loss 0.456738	 9.8s
Ep 15	 reward -15.450	 ms 216.3	 loss 0.386910	 9.6s
Ep 16	 reward -15.339	 ms 214.8	 loss 0.465989	 10.3s
Ep 17	 reward -15.404	 ms 215.7	 loss 0.446624	 10.0s
Ep 18	 reward -15.321	 ms 214.5	 loss 0.393509	 9.7s
Ep 19	 reward -15.436	 ms 216.1	 loss 0.450058	 10.2s
Ep 20	 reward -15.293	 ms 214.1	 loss 0.442481	 9.5s
Ep 21	 reward -15.343	 ms 214.8	 loss 0.193966	 10.2s
Ep 22	 reward -15.346	 ms 214.8	 loss 0.243785	 9.3s
Ep 23	 reward -15.400	 ms 215.6	 loss 0.398077	 9.5s
Ep 24	 reward -15.439	 ms 216.2	 loss 0.300142	 8.9s
[vali @25] rel=0.8952 (best 0.8952)  N=137.2  L=218.9  S=195.3  W=153.4  LS=272.9  LW=228.8
Ep 25	 reward -15.325	 ms 214.6	 loss 0.326095	 45.7s
Ep 26	 reward -15.079	 ms 211.1	 loss 0.410407	 9.7s
