[train_family] DOMAIN-RANDOMIZED descriptor draws: {'cross': [0.5, 2.0], 'symmetric': False, 'density_range': [0.05, 0.35]}
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=261.4  W=210.2  LS=336.6  LW=264.2
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-dr-s302 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -16.550	 ms 231.7	 loss 1.401882	 6.4s
Ep 2	 reward -16.675	 ms 233.4	 loss 1.059980	 6.3s
Ep 3	 reward -16.504	 ms 231.1	 loss 0.962849	 6.1s
Ep 4	 reward -16.464	 ms 230.5	 loss 1.046309	 4.5s
Ep 5	 reward -16.325	 ms 228.6	 loss 1.252152	 4.4s
Ep 6	 reward -16.450	 ms 230.3	 loss 1.353437	 4.6s
Ep 7	 reward -16.621	 ms 232.7	 loss 1.158261	 6.0s
Ep 8	 reward -16.714	 ms 234.0	 loss 1.174604	 6.1s
Ep 9	 reward -16.589	 ms 232.2	 loss 0.921718	 5.7s
Ep 10	 reward -16.529	 ms 231.4	 loss 0.985054	 4.8s
Ep 11	 reward -16.296	 ms 228.2	 loss 0.870683	 4.3s
Ep 12	 reward -16.539	 ms 231.6	 loss 0.752635	 4.8s
Ep 13	 reward -16.564	 ms 231.9	 loss 0.704592	 5.7s
Ep 14	 reward -16.554	 ms 231.8	 loss 0.682981	 6.4s
Ep 15	 reward -16.614	 ms 232.6	 loss 0.664972	 5.9s
Ep 16	 reward -16.732	 ms 234.2	 loss 0.733190	 4.6s
Ep 17	 reward -16.636	 ms 232.9	 loss 0.584524	 4.2s
Ep 18	 reward -16.454	 ms 230.3	 loss 0.521036	 4.9s
Ep 19	 reward -16.604	 ms 232.4	 loss 0.593630	 5.9s
Ep 20	 reward -16.489	 ms 230.8	 loss 0.475964	 6.3s
Ep 21	 reward -16.625	 ms 232.8	 loss 0.464158	 5.9s
Ep 22	 reward -16.846	 ms 235.8	 loss 0.408398	 4.4s
Ep 23	 reward -16.586	 ms 232.2	 loss 0.543854	 4.5s
Ep 24	 reward -16.500	 ms 231.0	 loss 0.258179	 5.2s
[vali @25] rel=0.9251 (best 0.9251)  N=147.0  L=224.7  S=224.3  W=189.0  LS=299.7  LW=257.4
Ep 25	 reward -16.646	 ms 233.1	 loss 0.486823	 27.8s
Ep 26	 reward -16.586	 ms 232.2	 loss 0.421503	 5.3s
Ep 27	 reward -16.607	 ms 232.5	 loss 0.541308	 6.1s
Ep 28	 reward -16.639	 ms 232.9	 loss 0.377337	 6.3s
Ep 29	 reward -16.432	 ms 230.1	 loss 0.474502	 5.8s
Ep 30	 reward -16.614	 ms 232.6	 loss 0.400836	 4.2s
Ep 31	 reward -16.654	 ms 233.2	 loss 0.457546	 4.2s
Ep 32	 reward -16.411	 ms 229.8	 loss 0.369751	 5.4s
Ep 33	 reward -16.736	 ms 234.3	 loss 0.422252	 6.4s
Ep 34	 reward -16.614	 ms 232.6	 loss 0.409103	 6.3s
Ep 35	 reward -16.493	 ms 230.9	 loss 0.403180	 5.3s
Ep 36	 reward -16.543	 ms 231.6	 loss 0.421079	 4.3s
Ep 37	 reward -16.411	 ms 229.8	 loss 0.370582	 4.2s
Ep 38	 reward -16.711	 ms 233.9	 loss 0.383169	 5.2s
Ep 39	 reward -16.586	 ms 232.2	 loss 0.377771	 6.4s
Ep 40	 reward -16.793	 ms 235.1	 loss 0.390056	 6.2s
Ep 41	 reward -16.175	 ms 226.4	 loss 0.235864	 5.3s
Ep 42	 reward -16.368	 ms 229.2	 loss 0.408232	 4.3s
Ep 43	 reward -16.021	 ms 224.3	 loss 0.430786	 4.3s
Ep 44	 reward -16.243	 ms 227.4	 loss 0.545179	 5.4s
Ep 45	 reward -16.318	 ms 228.4	 loss 0.301619	 6.1s
Ep 46	 reward -16.079	 ms 225.1	 loss 0.380222	 5.8s
Ep 47	 reward -15.989	 ms 223.8	 loss 0.166993	 5.1s
Ep 48	 reward -15.989	 ms 223.8	 loss 0.137218	 4.2s
Ep 49	 reward -16.146	 ms 226.1	 loss 0.404493	 4.4s
[vali @50] rel=0.9061 (best 0.9061)  N=144.6  L=218.9  S=221.1  W=186.2  LS=293.4  LW=249.8
Ep 50	 reward -15.864	 ms 222.1	 loss 0.125077	 26.8s
Ep 51	 reward -15.907	 ms 222.7	 loss 0.269832	 4.3s
Ep 52	 reward -16.071	 ms 225.0	 loss 0.262455	 5.4s
Ep 53	 reward -15.911	 ms 222.8	 loss 0.238704	 6.1s
Ep 54	 reward -16.004	 ms 224.1	 loss 0.128688	 6.6s
Ep 55	 reward -15.900	 ms 222.6	 loss 0.150261	 5.8s
Ep 56	 reward -16.011	 ms 224.2	 loss 0.176049	 4.3s
Ep 57	 reward -15.996	 ms 223.9	 loss 0.234367	 4.3s
Ep 58	 reward -15.857	 ms 222.0	 loss 0.264959	 5.4s
Ep 59	 reward -16.068	 ms 224.9	 loss 0.308549	 5.8s
Ep 60	 reward -16.100	 ms 225.4	 loss 0.279906	 6.2s
