[train_family] forcing data_source=FAMILY
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-nlsw-s303 regimes=['N', 'L', 'S', 'W'] updates=2000
Ep 1	 reward -13.186	 ms 184.6	 loss 0.636602	 7.4s
Ep 2	 reward -13.246	 ms 185.4	 loss 0.624614	 6.7s
Ep 3	 reward -13.250	 ms 185.5	 loss 0.869164	 6.9s
Ep 4	 reward -13.100	 ms 183.4	 loss 0.819836	 6.9s
Ep 5	 reward -13.421	 ms 187.9	 loss 0.628395	 7.3s
Ep 6	 reward -13.275	 ms 185.8	 loss 0.469505	 7.1s
Ep 7	 reward -13.364	 ms 187.1	 loss 0.420417	 7.2s
Ep 8	 reward -13.229	 ms 185.2	 loss 0.314539	 7.0s
Ep 9	 reward -13.189	 ms 184.7	 loss 0.327835	 6.9s
Ep 10	 reward -13.254	 ms 185.6	 loss 0.259361	 7.0s
Ep 11	 reward -13.286	 ms 186.0	 loss 0.200245	 6.8s
Ep 12	 reward -13.321	 ms 186.5	 loss 0.167189	 6.8s
Ep 13	 reward -13.361	 ms 187.1	 loss 0.225182	 6.9s
Ep 14	 reward -13.150	 ms 184.1	 loss 0.108096	 6.8s
Ep 15	 reward -13.296	 ms 186.2	 loss 0.136369	 6.9s
Ep 16	 reward -13.336	 ms 186.7	 loss 0.084506	 6.8s
Ep 17	 reward -13.193	 ms 184.7	 loss 0.065090	 6.8s
Ep 18	 reward -13.271	 ms 185.8	 loss 0.083612	 6.8s
Ep 19	 reward -13.211	 ms 184.9	 loss 0.063015	 6.7s
Ep 20	 reward -13.361	 ms 187.1	 loss 0.108480	 6.9s
Ep 21	 reward -13.375	 ms 187.2	 loss 0.176489	 6.7s
Ep 22	 reward -13.111	 ms 183.6	 loss 0.251728	 6.9s
Ep 23	 reward -13.268	 ms 185.8	 loss 0.172960	 6.9s
Ep 24	 reward -13.418	 ms 187.8	 loss 0.221705	 6.8s
[vali @25] rel=0.9027 (best 0.9027)  N=141.4  L=212.7  S=197.1  W=165.8
Ep 25	 reward -13.025	 ms 182.3	 loss 0.202579	 26.1s
Ep 26	 reward -13.275	 ms 185.8	 loss 0.360434	 6.8s
Ep 27	 reward -13.171	 ms 184.4	 loss 0.147643	 6.7s
Ep 28	 reward -13.314	 ms 186.4	 loss 0.264785	 6.7s
Ep 29	 reward -13.236	 ms 185.3	 loss 0.184326	 6.8s
Ep 30	 reward -13.268	 ms 185.8	 loss 0.254416	 6.8s
Ep 31	 reward -13.468	 ms 188.6	 loss 0.213951	 6.7s
Ep 32	 reward -13.493	 ms 188.9	 loss 0.317339	 6.7s
Ep 33	 reward -13.457	 ms 188.4	 loss 0.036658	 6.7s
Ep 34	 reward -13.543	 ms 189.6	 loss 0.127106	 6.8s
Ep 35	 reward -13.346	 ms 186.8	 loss 0.224875	 7.0s
Ep 36	 reward -13.246	 ms 185.4	 loss 0.336987	 7.2s
Ep 37	 reward -13.371	 ms 187.2	 loss 0.221709	 6.8s
Ep 38	 reward -13.336	 ms 186.7	 loss 0.324440	 6.8s
Ep 39	 reward -13.286	 ms 186.0	 loss 0.236511	 7.0s
Ep 40	 reward -13.243	 ms 185.4	 loss 0.280369	 6.8s
Ep 41	 reward -13.325	 ms 186.6	 loss 0.235969	 6.9s
Ep 42	 reward -13.282	 ms 185.9	 loss 0.200594	 6.9s
Ep 43	 reward -13.286	 ms 186.0	 loss 0.191501	 6.9s
Ep 44	 reward -13.379	 ms 187.3	 loss 0.189445	 6.8s
Ep 45	 reward -13.225	 ms 185.2	 loss 0.167578	 6.7s
Ep 46	 reward -13.279	 ms 185.9	 loss 0.181729	 6.8s
Ep 47	 reward -13.254	 ms 185.6	 loss 0.142235	 6.8s
Ep 48	 reward -13.218	 ms 185.1	 loss 0.161688	 6.7s
Ep 49	 reward -13.179	 ms 184.5	 loss 0.087753	 6.8s
[vali @50] rel=0.8854 (best 0.8854)  N=135.8  L=213.4  S=197.1  W=159.2
Ep 50	 reward -13.161	 ms 184.2	 loss 0.035305	 26.0s
Ep 51	 reward -13.186	 ms 184.6	 loss 0.072786	 6.7s
Ep 52	 reward -13.293	 ms 186.1	 loss 0.002836	 6.8s
Ep 53	 reward -13.057	 ms 182.8	 loss 0.059503	 6.9s
Ep 54	 reward -13.196	 ms 184.8	 loss 0.147445	 6.8s
Ep 55	 reward -13.121	 ms 183.7	 loss 0.084327	 6.8s
Ep 56	 reward -13.214	 ms 185.0	 loss 0.009528	 6.8s
Ep 57	 reward -13.139	 ms 183.9	 loss 0.069890	 6.7s
Ep 58	 reward -13.043	 ms 182.6	 loss 0.063030	 6.8s
Ep 59	 reward -13.043	 ms 182.6	 loss -0.007389	 6.8s
Ep 60	 reward -13.175	 ms 184.4	 loss 0.155474	 6.7s
Ep 61	 reward -13.029	 ms 182.4	 loss 0.290341	 6.8s
Ep 62	 reward -13.221	 ms 185.1	 loss 0.257669	 6.8s
Ep 63	 reward -13.118	 ms 183.7	 loss 0.174330	 6.7s
Ep 64	 reward -13.100	 ms 183.4	 loss 0.229090	 6.6s
Ep 65	 reward -13.025	 ms 182.3	 loss 0.239710	 6.8s
Ep 66	 reward -13.000	 ms 182.0	 loss 0.201824	 6.8s
Ep 67	 reward -13.032	 ms 182.4	 loss 0.206068	 6.7s
Ep 68	 reward -12.982	 ms 181.8	 loss 0.166355	 6.7s
Ep 69	 reward -13.036	 ms 182.5	 loss 0.230927	 6.6s
Ep 70	 reward -13.111	 ms 183.6	 loss 0.149155	 6.8s
Ep 71	 reward -13.029	 ms 182.4	 loss 0.162229	 6.7s
Ep 72	 reward -13.050	 ms 182.7	 loss 0.201949	 6.9s
Ep 73	 reward -13.104	 ms 183.4	 loss 0.211095	 6.8s
Ep 74	 reward -12.968	 ms 181.6	 loss 0.190887	 6.7s
[vali @75] rel=0.8824 (best 0.8824)  N=134.2  L=215.8  S=195.6  W=158.2
Ep 75	 reward -13.171	 ms 184.4	 loss 0.168930	 25.8s
Ep 76	 reward -13.079	 ms 183.1	 loss 0.195110	 6.7s
Ep 77	 reward -13.096	 ms 183.3	 loss 0.173184	 6.9s
Ep 78	 reward -13.054	 ms 182.8	 loss 0.180086	 6.8s
Ep 79	 reward -13.043	 ms 182.6	 loss 0.098324	 6.8s
Ep 80	 reward -13.082	 ms 183.2	 loss 0.187669	 6.7s
Ep 81	 reward -12.957	 ms 181.4	 loss -0.035332	 6.8s
Ep 82	 reward -12.889	 ms 180.4	 loss 0.038192	 6.8s
