[train_family] forcing data_source=FAMILY
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-nlsw regimes=['N', 'L', 'S', 'W'] updates=2000
Ep 1	 reward -13.089	 ms 183.2	 loss 0.826734	 10.6s
Ep 2	 reward -12.843	 ms 179.8	 loss 0.506893	 9.7s
Ep 3	 reward -13.171	 ms 184.4	 loss 0.700374	 9.9s
Ep 4	 reward -12.986	 ms 181.8	 loss 0.673805	 8.8s
Ep 5	 reward -13.064	 ms 182.9	 loss 0.427212	 8.7s
Ep 6	 reward -12.929	 ms 181.0	 loss 0.493306	 10.0s
Ep 7	 reward -13.182	 ms 184.6	 loss 0.387952	 9.7s
Ep 8	 reward -13.018	 ms 182.2	 loss 0.399123	 10.0s
Ep 9	 reward -13.293	 ms 186.1	 loss 0.398275	 9.4s
Ep 10	 reward -13.164	 ms 184.3	 loss 0.220994	 9.5s
Ep 11	 reward -13.211	 ms 184.9	 loss 0.300771	 9.7s
Ep 12	 reward -13.046	 ms 182.7	 loss 0.242361	 9.6s
Ep 13	 reward -13.121	 ms 183.7	 loss 0.189470	 9.5s
Ep 14	 reward -13.132	 ms 183.8	 loss 0.119292	 8.8s
Ep 15	 reward -13.361	 ms 187.1	 loss 0.253926	 8.9s
Ep 16	 reward -13.475	 ms 188.7	 loss 0.113885	 9.8s
Ep 17	 reward -13.332	 ms 186.7	 loss 0.271839	 9.3s
Ep 18	 reward -13.214	 ms 185.0	 loss 0.127514	 9.5s
Ep 19	 reward -13.346	 ms 186.8	 loss 0.042238	 9.9s
Ep 20	 reward -13.379	 ms 187.3	 loss 0.100560	 9.6s
Ep 21	 reward -13.157	 ms 184.2	 loss 0.144511	 9.2s
Ep 22	 reward -13.257	 ms 185.6	 loss 0.154515	 8.8s
Ep 23	 reward -13.393	 ms 187.5	 loss 0.147066	 8.5s
Ep 24	 reward -13.454	 ms 188.3	 loss 0.227474	 9.8s
[vali @25] rel=0.9466 (best 0.9466)  N=151.8  L=216.6  S=207.7  W=174.2
Ep 25	 reward -13.307	 ms 186.3	 loss 0.160771	 38.8s
Ep 26	 reward -13.257	 ms 185.6	 loss 0.162010	 9.5s
Ep 27	 reward -13.379	 ms 187.3	 loss 0.273760	 9.7s
Ep 28	 reward -13.279	 ms 185.9	 loss 0.310098	 9.1s
Ep 29	 reward -13.132	 ms 183.8	 loss 0.091813	 8.9s
Ep 30	 reward -13.025	 ms 182.3	 loss 0.248811	 9.6s
Ep 31	 reward -13.232	 ms 185.2	 loss 0.066052	 9.7s
Ep 32	 reward -13.304	 ms 186.2	 loss 0.102549	 9.8s
Ep 33	 reward -12.971	 ms 181.6	 loss 0.146496	 11.6s
Ep 34	 reward -13.068	 ms 182.9	 loss 0.099172	 12.7s
Ep 35	 reward -12.950	 ms 181.3	 loss 0.259261	 12.9s
Ep 36	 reward -13.168	 ms 184.3	 loss 0.050495	 13.6s
Ep 37	 reward -13.121	 ms 183.7	 loss 0.074676	 13.8s
Ep 38	 reward -13.050	 ms 182.7	 loss 0.235655	 13.6s
Ep 39	 reward -13.114	 ms 183.6	 loss 0.069570	 13.0s
Ep 40	 reward -13.093	 ms 183.3	 loss 0.276931	 13.8s
Ep 41	 reward -13.139	 ms 183.9	 loss 0.202214	 13.6s
Ep 42	 reward -13.096	 ms 183.3	 loss 0.076194	 13.2s
Ep 43	 reward -13.136	 ms 183.9	 loss 0.124218	 12.6s
Ep 44	 reward -13.182	 ms 184.6	 loss 0.079632	 12.2s
Ep 45	 reward -13.107	 ms 183.5	 loss 0.171497	 13.3s
Ep 46	 reward -13.046	 ms 182.7	 loss 0.128447	 13.1s
Ep 47	 reward -12.957	 ms 181.4	 loss 0.127946	 14.0s
Ep 48	 reward -12.968	 ms 181.6	 loss 0.109062	 13.0s
Ep 49	 reward -12.936	 ms 181.1	 loss 0.197633	 12.9s
