[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-nodelta-s301 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -14.932	 ms 209.1	 loss 0.617562	 7.8s
Ep 2	 reward -14.800	 ms 207.2	 loss 0.603524	 7.0s
Ep 3	 reward -14.918	 ms 208.8	 loss 0.520082	 7.5s
Ep 4	 reward -14.950	 ms 209.3	 loss 0.587102	 7.7s
Ep 5	 reward -14.689	 ms 205.7	 loss 0.401502	 7.4s
Ep 6	 reward -14.739	 ms 206.3	 loss 0.469112	 7.9s
Ep 7	 reward -14.929	 ms 209.0	 loss 0.410045	 7.8s
Ep 8	 reward -14.818	 ms 207.4	 loss 0.312937	 7.9s
Ep 9	 reward -14.818	 ms 207.4	 loss 0.372173	 8.4s
Ep 10	 reward -14.925	 ms 208.9	 loss 0.387421	 8.3s
Ep 11	 reward -14.636	 ms 204.9	 loss 0.274165	 8.3s
Ep 12	 reward -14.700	 ms 205.8	 loss 0.318465	 7.9s
Ep 13	 reward -14.575	 ms 204.1	 loss 0.215465	 8.0s
Ep 14	 reward -14.646	 ms 205.1	 loss 0.181919	 8.0s
Ep 15	 reward -14.686	 ms 205.6	 loss 0.311323	 7.3s
Ep 16	 reward -14.725	 ms 206.2	 loss 0.252227	 7.1s
Ep 17	 reward -14.561	 ms 203.8	 loss 0.245843	 6.7s
Ep 18	 reward -14.414	 ms 201.8	 loss 0.163797	 6.7s
Ep 19	 reward -14.721	 ms 206.1	 loss 0.157477	 6.6s
Ep 20	 reward -14.679	 ms 205.5	 loss 0.176864	 6.5s
Ep 21	 reward -14.446	 ms 202.2	 loss 0.136748	 6.8s
Ep 22	 reward -14.379	 ms 201.3	 loss 0.185247	 6.7s
Ep 23	 reward -14.571	 ms 204.0	 loss 0.194859	 6.7s
Ep 24	 reward -14.507	 ms 203.1	 loss 0.159634	 6.8s
