[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-v1-s302 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -15.432	 ms 216.1	 loss 0.955768	 7.2s
Ep 2	 reward -15.432	 ms 216.1	 loss 0.578877	 6.6s
Ep 3	 reward -15.296	 ms 214.2	 loss 0.480070	 6.3s
Ep 4	 reward -15.550	 ms 217.7	 loss 0.830465	 6.7s
Ep 5	 reward -15.464	 ms 216.5	 loss 0.825727	 6.6s
Ep 6	 reward -15.232	 ms 213.2	 loss 0.776412	 7.4s
Ep 7	 reward -15.454	 ms 216.3	 loss 0.803295	 7.0s
Ep 8	 reward -15.436	 ms 216.1	 loss 0.781356	 7.5s
Ep 9	 reward -15.468	 ms 216.6	 loss 0.683210	 7.6s
Ep 10	 reward -15.282	 ms 213.9	 loss 0.475564	 7.1s
Ep 11	 reward -15.450	 ms 216.3	 loss 0.441741	 9.0s
Ep 12	 reward -15.400	 ms 215.6	 loss 0.359465	 8.8s
Ep 13	 reward -15.329	 ms 214.6	 loss 0.416475	 9.3s
Ep 14	 reward -15.336	 ms 214.7	 loss 0.373055	 8.7s
Ep 15	 reward -15.457	 ms 216.4	 loss 0.386723	 9.7s
Ep 16	 reward -15.161	 ms 212.2	 loss 0.502138	 9.5s
Ep 17	 reward -15.375	 ms 215.2	 loss 0.399187	 9.4s
Ep 18	 reward -15.221	 ms 213.1	 loss 0.514742	 9.2s
Ep 19	 reward -15.296	 ms 214.2	 loss 0.424218	 10.1s
Ep 20	 reward -15.325	 ms 214.6	 loss 0.397365	 9.2s
Ep 21	 reward -15.450	 ms 216.3	 loss 0.370903	 8.8s
Ep 22	 reward -15.246	 ms 213.4	 loss 0.340166	 9.3s
Ep 23	 reward -15.243	 ms 213.4	 loss 0.442224	 9.1s
Ep 24	 reward -15.232	 ms 213.2	 loss 0.424373	 8.9s
[vali @25] rel=0.8775 (best 0.8775)  N=133.2  L=213.7  S=192.2  W=151.7  LS=268.5  LW=224.2
Ep 25	 reward -15.196	 ms 212.8	 loss 0.411446	 43.3s
Ep 26	 reward -15.050	 ms 210.7	 loss 0.235203	 9.5s
Ep 27	 reward -15.043	 ms 210.6	 loss 0.373463	 8.8s
Ep 28	 reward -15.096	 ms 211.3	 loss 0.366043	 9.4s
Ep 29	 reward -15.239	 ms 213.3	 loss 0.146410	 9.3s
Ep 30	 reward -15.211	 ms 212.9	 loss 0.310532	 9.2s
Ep 31	 reward -15.104	 ms 211.4	 loss 0.223181	 9.4s
Ep 32	 reward -14.929	 ms 209.0	 loss 0.372305	 8.9s
Ep 33	 reward -15.139	 ms 211.9	 loss 0.175106	 8.2s
Ep 34	 reward -15.025	 ms 210.3	 loss 0.280529	 8.5s
Ep 35	 reward -14.971	 ms 209.6	 loss 0.336822	 8.8s
Ep 36	 reward -15.143	 ms 212.0	 loss 0.292082	 8.8s
Ep 37	 reward -15.107	 ms 211.5	 loss 0.219758	 8.9s
Ep 38	 reward -15.071	 ms 211.0	 loss 0.329675	 8.7s
Ep 39	 reward -14.946	 ms 209.2	 loss 0.356340	 10.1s
Ep 40	 reward -14.932	 ms 209.1	 loss 0.234003	 9.5s
Ep 41	 reward -14.832	 ms 207.7	 loss 0.414474	 9.2s
Ep 42	 reward -14.975	 ms 209.7	 loss 0.090188	 10.0s
Ep 43	 reward -14.836	 ms 207.7	 loss 0.343625	 9.6s
Ep 44	 reward -14.804	 ms 207.2	 loss 0.282274	 9.6s
Ep 45	 reward -14.682	 ms 205.6	 loss 0.104188	 9.5s
Ep 46	 reward -14.736	 ms 206.3	 loss 0.277671	 9.9s
