[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-v1 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -14.932	 ms 209.1	 loss 0.617562	 6.6s
Ep 2	 reward -14.800	 ms 207.2	 loss 0.603524	 6.0s
Ep 3	 reward -14.918	 ms 208.8	 loss 0.520082	 5.6s
Ep 4	 reward -14.950	 ms 209.3	 loss 0.587102	 5.9s
Ep 5	 reward -14.689	 ms 205.7	 loss 0.401502	 6.0s
Ep 6	 reward -14.739	 ms 206.3	 loss 0.469112	 5.9s
Ep 7	 reward -14.929	 ms 209.0	 loss 0.410045	 6.6s
Ep 8	 reward -14.818	 ms 207.4	 loss 0.312937	 6.2s
Ep 9	 reward -14.818	 ms 207.4	 loss 0.372175	 6.8s
Ep 10	 reward -14.925	 ms 208.9	 loss 0.387427	 6.8s
Ep 11	 reward -14.636	 ms 204.9	 loss 0.274173	 7.4s
Ep 12	 reward -14.700	 ms 205.8	 loss 0.318467	 7.3s
Ep 13	 reward -14.575	 ms 204.1	 loss 0.215510	 7.6s
Ep 14	 reward -14.643	 ms 205.0	 loss 0.181551	 7.4s
Ep 15	 reward -14.689	 ms 205.7	 loss 0.311067	 7.4s
Ep 16	 reward -14.675	 ms 205.4	 loss 0.239665	 8.7s
Ep 17	 reward -14.507	 ms 203.1	 loss 0.206545	 9.1s
Ep 18	 reward -14.379	 ms 201.3	 loss 0.159188	 8.9s
Ep 19	 reward -14.529	 ms 203.4	 loss 0.094344	 8.8s
Ep 20	 reward -14.500	 ms 203.0	 loss 0.090364	 9.3s
Ep 21	 reward -14.357	 ms 201.0	 loss 0.155525	 9.9s
Ep 22	 reward -14.557	 ms 203.8	 loss 0.172300	 9.5s
Ep 23	 reward -14.543	 ms 203.6	 loss 0.188450	 9.4s
Ep 24	 reward -14.357	 ms 201.0	 loss 0.159465	 10.0s
[vali @25] rel=0.8817 (best 0.8817)  N=134.2  L=214.3  S=192.8  W=153.3  LS=269.3  LW=224.4
Ep 25	 reward -14.404	 ms 201.7	 loss 0.188405	 43.8s
Ep 26	 reward -14.214	 ms 199.0	 loss 0.203519	 9.7s
Ep 27	 reward -14.279	 ms 199.9	 loss 0.168643	 9.8s
Ep 28	 reward -14.346	 ms 200.8	 loss 0.176175	 9.2s
Ep 29	 reward -14.257	 ms 199.6	 loss 0.135519	 9.0s
Ep 30	 reward -14.189	 ms 198.7	 loss 0.191702	 9.6s
Ep 31	 reward -14.357	 ms 201.0	 loss 0.181150	 9.5s
Ep 32	 reward -14.179	 ms 198.5	 loss 0.101317	 9.3s
Ep 33	 reward -14.364	 ms 201.1	 loss 0.250252	 10.0s
Ep 34	 reward -14.332	 ms 200.7	 loss 0.116029	 9.6s
Ep 35	 reward -14.107	 ms 197.5	 loss 0.131006	 9.9s
Ep 36	 reward -14.268	 ms 199.8	 loss 0.128083	 9.1s
Ep 37	 reward -14.343	 ms 200.8	 loss 0.256650	 8.7s
Ep 38	 reward -14.239	 ms 199.3	 loss 0.151194	 8.6s
Ep 39	 reward -14.214	 ms 199.0	 loss 0.118698	 8.4s
Ep 40	 reward -14.321	 ms 200.5	 loss 0.162277	 9.6s
Ep 41	 reward -14.293	 ms 200.1	 loss 0.304434	 9.2s
Ep 42	 reward -14.221	 ms 199.1	 loss 0.031940	 8.8s
Ep 43	 reward -14.379	 ms 201.3	 loss 0.116015	 8.9s
Ep 44	 reward -14.118	 ms 197.7	 loss 0.132060	 10.2s
Ep 45	 reward -14.089	 ms 197.2	 loss 0.142271	 9.9s
Ep 46	 reward -14.214	 ms 199.0	 loss 0.260746	 9.9s
Ep 47	 reward -14.311	 ms 200.3	 loss 0.098268	 9.9s
Ep 48	 reward -14.182	 ms 198.6	 loss 0.175340	 9.3s
Ep 49	 reward -14.139	 ms 197.9	 loss 0.178375	 9.7s
[vali @50] rel=0.8769 (best 0.8769)  N=134.4  L=210.2  S=191.6  W=152.6  LS=269.9  LW=223.3
Ep 50	 reward -14.121	 ms 197.7	 loss 0.178276	 44.2s
Ep 51	 reward -14.125	 ms 197.8	 loss 0.230506	 9.4s
Ep 52	 reward -14.211	 ms 198.9	 loss 0.073356	 10.0s
Ep 53	 reward -14.300	 ms 200.2	 loss 0.242142	 9.5s
Ep 54	 reward -14.296	 ms 200.2	 loss 0.090646	 8.8s
Ep 55	 reward -14.293	 ms 200.1	 loss 0.225365	 8.9s
Ep 56	 reward -14.368	 ms 201.2	 loss 0.024811	 9.9s
Ep 57	 reward -14.336	 ms 200.7	 loss 0.317599	 9.0s
Ep 58	 reward -14.300	 ms 200.2	 loss 0.171142	 8.8s
Ep 59	 reward -14.296	 ms 200.2	 loss 0.121018	 9.2s
Ep 60	 reward -14.396	 ms 201.6	 loss 0.303477	 9.4s
Ep 61	 reward -14.539	 ms 203.6	 loss -0.005392	 8.5s
Ep 62	 reward -14.625	 ms 204.8	 loss 0.032419	 8.8s
Ep 63	 reward -14.704	 ms 205.8	 loss 0.021068	 8.8s
Ep 64	 reward -14.700	 ms 205.8	 loss -0.021863	 8.6s
Ep 65	 reward -14.618	 ms 204.7	 loss 0.026195	 9.1s
Ep 66	 reward -14.604	 ms 204.4	 loss 0.015556	 9.2s
Ep 67	 reward -14.486	 ms 202.8	 loss -0.001500	 9.1s
Ep 68	 reward -14.593	 ms 204.3	 loss 0.015687	 9.4s
Ep 69	 reward -14.511	 ms 203.2	 loss -0.073935	 10.6s
Ep 70	 reward -14.650	 ms 205.1	 loss 0.073981	 9.8s
Ep 71	 reward -14.571	 ms 204.0	 loss -0.033553	 9.5s
Ep 72	 reward -14.525	 ms 203.3	 loss -0.000252	 9.6s
