[vali] MWKR norms: N=156.6  L=226.9  S=240.4  W=186.3  LS=305.9  LW=252.9
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-v1 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -14.600	 ms 204.4	 loss 0.674631	 12.6s
Ep 2	 reward -14.521	 ms 203.3	 loss 0.445816	 12.0s
Ep 3	 reward -14.664	 ms 205.3	 loss 0.520520	 11.9s
Ep 4	 reward -14.807	 ms 207.3	 loss 0.555727	 11.9s
Ep 5	 reward -14.611	 ms 204.6	 loss 0.462994	 12.0s
Ep 6	 reward -14.475	 ms 202.7	 loss 0.342044	 12.1s
Ep 7	 reward -14.396	 ms 201.6	 loss 0.375484	 12.2s
Ep 8	 reward -14.550	 ms 203.7	 loss 0.415413	 12.4s
Ep 9	 reward -14.643	 ms 205.0	 loss 0.329952	 12.4s
Ep 10	 reward -14.593	 ms 204.3	 loss 0.202913	 12.0s
Ep 11	 reward -14.854	 ms 207.9	 loss 0.410894	 12.4s
Ep 12	 reward -14.907	 ms 208.7	 loss 0.240901	 12.5s
Ep 13	 reward -14.839	 ms 207.8	 loss 0.165197	 10.8s
Ep 14	 reward -14.875	 ms 208.2	 loss 0.341992	 12.5s
Ep 15	 reward -14.746	 ms 206.4	 loss 0.182367	 12.1s
Ep 16	 reward -14.604	 ms 204.4	 loss 0.151721	 12.6s
Ep 17	 reward -14.879	 ms 208.3	 loss 0.183068	 12.5s
Ep 18	 reward -14.729	 ms 206.2	 loss 0.158129	 12.5s
Ep 19	 reward -14.475	 ms 202.7	 loss 0.117917	 12.0s
Ep 20	 reward -14.689	 ms 205.7	 loss 0.304982	 12.1s
Ep 21	 reward -14.646	 ms 205.1	 loss 0.341901	 12.5s
Ep 22	 reward -14.593	 ms 204.3	 loss 0.084130	 12.5s
Ep 23	 reward -14.621	 ms 204.7	 loss 0.229027	 12.1s
Ep 24	 reward -14.757	 ms 206.6	 loss 0.191111	 12.3s
