[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+jointblind-v1-s303 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -14.946	 ms 209.2	 loss 0.771150	 9.8s
Ep 2	 reward -15.043	 ms 210.6	 loss 0.851307	 9.5s
Ep 3	 reward -14.793	 ms 207.1	 loss 0.709603	 9.2s
Ep 4	 reward -14.918	 ms 208.8	 loss 0.775583	 9.2s
Ep 5	 reward -14.986	 ms 209.8	 loss 0.778282	 9.1s
Ep 6	 reward -14.929	 ms 209.0	 loss 0.561295	 9.8s
Ep 7	 reward -15.118	 ms 211.7	 loss 0.715023	 9.0s
Ep 8	 reward -15.025	 ms 210.3	 loss 0.706122	 8.4s
Ep 9	 reward -14.982	 ms 209.8	 loss 0.549146	 9.2s
Ep 10	 reward -15.150	 ms 212.1	 loss 0.591801	 8.9s
Ep 11	 reward -14.993	 ms 209.9	 loss 0.513970	 8.7s
Ep 12	 reward -14.918	 ms 208.8	 loss 0.446403	 9.5s
Ep 13	 reward -14.850	 ms 207.9	 loss 0.441778	 8.9s
Ep 14	 reward -14.889	 ms 208.4	 loss 0.481652	 8.6s
Ep 15	 reward -15.014	 ms 210.2	 loss 0.389857	 8.6s
Ep 16	 reward -14.950	 ms 209.3	 loss 0.426355	 9.1s
Ep 17	 reward -14.804	 ms 207.2	 loss 0.325980	 9.1s
Ep 18	 reward -15.146	 ms 212.1	 loss 0.389297	 8.8s
Ep 19	 reward -15.000	 ms 210.0	 loss 0.363090	 9.2s
Ep 20	 reward -15.050	 ms 210.7	 loss 0.401537	 8.2s
Ep 21	 reward -15.021	 ms 210.3	 loss 0.473741	 9.1s
Ep 22	 reward -15.061	 ms 210.8	 loss 0.366542	 9.4s
Ep 23	 reward -15.207	 ms 212.9	 loss 0.442575	 8.7s
Ep 24	 reward -15.018	 ms 210.2	 loss 0.292625	 8.2s
[vali @25] rel=0.8981 (best 0.8981)  N=137.4  L=220.3  S=195.5  W=156.4  LS=269.8  LW=229.5
Ep 25	 reward -15.068	 ms 210.9	 loss 0.254210	 40.5s
Ep 26	 reward -15.057	 ms 210.8	 loss 0.257559	 9.5s
Ep 27	 reward -14.979	 ms 209.7	 loss 0.403172	 9.6s
Ep 28	 reward -15.054	 ms 210.8	 loss 0.382853	 9.3s
Ep 29	 reward -14.900	 ms 208.6	 loss 0.423753	 9.4s
Ep 30	 reward -14.979	 ms 209.7	 loss 0.368996	 9.2s
Ep 31	 reward -14.818	 ms 207.4	 loss 0.251831	 8.6s
Ep 32	 reward -14.814	 ms 207.4	 loss 0.415754	 9.2s
Ep 33	 reward -14.818	 ms 207.4	 loss 0.376551	 10.0s
Ep 34	 reward -14.882	 ms 208.3	 loss 0.432594	 9.1s
Ep 35	 reward -14.714	 ms 206.0	 loss 0.414162	 8.6s
Ep 36	 reward -14.811	 ms 207.3	 loss 0.338965	 9.0s
Ep 37	 reward -14.932	 ms 209.1	 loss 0.374402	 8.7s
Ep 38	 reward -14.879	 ms 208.3	 loss 0.342211	 8.4s
Ep 39	 reward -15.118	 ms 211.7	 loss 0.426814	 8.9s
Ep 40	 reward -15.093	 ms 211.3	 loss 0.441485	 9.4s
