[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+jointblind-v1 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -14.957	 ms 209.4	 loss 0.656272	 8.7s
Ep 2	 reward -14.729	 ms 206.2	 loss 0.631346	 8.7s
Ep 3	 reward -14.796	 ms 207.2	 loss 0.576187	 9.1s
Ep 4	 reward -15.071	 ms 211.0	 loss 0.645148	 8.5s
Ep 5	 reward -14.843	 ms 207.8	 loss 0.564242	 9.1s
Ep 6	 reward -14.875	 ms 208.2	 loss 0.705812	 9.4s
Ep 7	 reward -14.818	 ms 207.4	 loss 0.622576	 9.1s
Ep 8	 reward -14.864	 ms 208.1	 loss 0.438364	 9.2s
Ep 9	 reward -14.761	 ms 206.7	 loss 0.485469	 9.3s
Ep 10	 reward -14.839	 ms 207.8	 loss 0.489228	 9.7s
Ep 11	 reward -14.700	 ms 205.8	 loss 0.463309	 9.1s
Ep 12	 reward -14.800	 ms 207.2	 loss 0.342555	 8.5s
Ep 13	 reward -14.736	 ms 206.3	 loss 0.313541	 9.1s
Ep 14	 reward -14.757	 ms 206.6	 loss 0.361749	 8.9s
Ep 15	 reward -14.900	 ms 208.6	 loss 0.346248	 8.6s
Ep 16	 reward -14.632	 ms 204.8	 loss 0.415317	 9.5s
Ep 17	 reward -14.711	 ms 205.9	 loss 0.233633	 8.9s
Ep 18	 reward -14.693	 ms 205.7	 loss 0.253555	 8.8s
Ep 19	 reward -14.743	 ms 206.4	 loss 0.439642	 9.0s
Ep 20	 reward -14.829	 ms 207.6	 loss 0.260349	 8.8s
Ep 21	 reward -14.607	 ms 204.5	 loss 0.334284	 9.3s
Ep 22	 reward -14.571	 ms 204.0	 loss 0.301592	 9.2s
Ep 23	 reward -14.704	 ms 205.8	 loss 0.272933	 9.5s
Ep 24	 reward -14.604	 ms 204.4	 loss 0.269723	 9.1s
[vali @25] rel=0.8904 (best 0.8904)  N=135.0  L=219.7  S=195.5  W=152.2  LS=272.0  LW=226.7
Ep 25	 reward -14.429	 ms 202.0	 loss 0.265364	 41.5s
Ep 26	 reward -14.525	 ms 203.3	 loss 0.279102	 9.1s
Ep 27	 reward -14.596	 ms 204.3	 loss 0.248986	 9.0s
Ep 28	 reward -14.561	 ms 203.8	 loss 0.271763	 8.8s
Ep 29	 reward -14.657	 ms 205.2	 loss 0.275313	 8.9s
Ep 30	 reward -14.439	 ms 202.2	 loss 0.235865	 10.0s
Ep 31	 reward -14.446	 ms 202.2	 loss 0.292981	 9.4s
Ep 32	 reward -14.500	 ms 203.0	 loss 0.217236	 9.2s
Ep 33	 reward -14.554	 ms 203.8	 loss 0.183382	 9.8s
Ep 34	 reward -14.461	 ms 202.4	 loss 0.225393	 9.7s
Ep 35	 reward -14.386	 ms 201.4	 loss 0.258724	 9.7s
Ep 36	 reward -14.525	 ms 203.3	 loss 0.229719	 9.6s
Ep 37	 reward -14.464	 ms 202.5	 loss 0.154909	 10.0s
Ep 38	 reward -14.375	 ms 201.2	 loss 0.227246	 8.6s
Ep 39	 reward -14.675	 ms 205.4	 loss 0.222110	 9.0s
Ep 40	 reward -14.596	 ms 204.3	 loss 0.183080	 9.0s
Ep 41	 reward -14.450	 ms 202.3	 loss 0.282398	 8.6s
Ep 42	 reward -14.518	 ms 203.2	 loss 0.356956	 8.6s
Ep 43	 reward -14.382	 ms 201.3	 loss 0.323847	 9.7s
Ep 44	 reward -14.396	 ms 201.6	 loss 0.386807	 9.2s
Ep 45	 reward -14.296	 ms 200.2	 loss 0.274527	 8.8s
Ep 46	 reward -14.404	 ms 201.7	 loss 0.324198	 10.0s
Ep 47	 reward -14.361	 ms 201.1	 loss 0.272358	 9.3s
Ep 48	 reward -14.425	 ms 201.9	 loss 0.250547	 8.8s
Ep 49	 reward -14.318	 ms 200.4	 loss 0.300983	 9.4s
[vali @50] rel=0.8804 (best 0.8804)  N=132.8  L=213.7  S=195.2  W=151.7  LS=269.8  LW=225.0
Ep 50	 reward -14.436	 ms 202.1	 loss 0.263722	 42.3s
Ep 51	 reward -14.393	 ms 201.5	 loss 0.207460	 8.7s
Ep 52	 reward -14.464	 ms 202.5	 loss 0.282362	 8.9s
Ep 53	 reward -14.425	 ms 201.9	 loss 0.281481	 9.3s
Ep 54	 reward -14.521	 ms 203.3	 loss 0.337086	 9.5s
Ep 55	 reward -14.350	 ms 200.9	 loss 0.332517	 9.1s
Ep 56	 reward -14.389	 ms 201.4	 loss 0.275716	 10.2s
Ep 57	 reward -14.393	 ms 201.5	 loss 0.275563	 9.3s
Ep 58	 reward -14.550	 ms 203.7	 loss 0.389870	 9.1s
Ep 59	 reward -14.518	 ms 203.2	 loss 0.292830	 9.3s
Ep 60	 reward -14.536	 ms 203.5	 loss 0.314021	 9.4s
Ep 61	 reward -14.582	 ms 204.2	 loss 0.079911	 9.1s
Ep 62	 reward -14.618	 ms 204.7	 loss 0.062979	 9.7s
Ep 63	 reward -14.764	 ms 206.7	 loss 0.080939	 9.1s
Ep 64	 reward -14.729	 ms 206.2	 loss 0.036048	 9.1s
Ep 65	 reward -14.689	 ms 205.7	 loss 0.142785	 8.8s
Ep 66	 reward -14.632	 ms 204.8	 loss 0.105479	 9.1s
Ep 67	 reward -14.668	 ms 205.3	 loss 0.030020	 9.1s
Ep 68	 reward -14.714	 ms 206.0	 loss 0.035767	 8.9s
Ep 69	 reward -14.668	 ms 205.3	 loss 0.055256	 9.0s
Ep 70	 reward -14.543	 ms 203.6	 loss 0.083742	 9.4s
Ep 71	 reward -14.746	 ms 206.4	 loss 0.079890	 8.6s
Ep 72	 reward -14.543	 ms 203.6	 loss 0.044291	 8.5s
Ep 73	 reward -14.514	 ms 203.2	 loss 0.055103	 9.2s
Ep 74	 reward -14.557	 ms 203.8	 loss 0.008332	 8.9s
