[vali] MWKR norms: L=226.9
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-L-s303 regimes=['L'] updates=1000
Ep 1	 reward -16.250	 ms 227.5	 loss 0.036353	 13.9s
Ep 2	 reward -16.143	 ms 226.0	 loss -0.064692	 13.6s
Ep 3	 reward -16.343	 ms 228.8	 loss 0.000890	 13.7s
Ep 4	 reward -16.325	 ms 228.6	 loss 0.042246	 17.2s
Ep 5	 reward -16.218	 ms 227.1	 loss -0.022575	 15.1s
Ep 6	 reward -16.082	 ms 225.2	 loss -0.014540	 17.3s
Ep 7	 reward -16.314	 ms 228.4	 loss 0.012300	 16.3s
Ep 8	 reward -16.332	 ms 228.7	 loss -0.020009	 17.7s
Ep 9	 reward -16.193	 ms 226.7	 loss -0.035114	 15.0s
Ep 10	 reward -16.186	 ms 226.6	 loss -0.002296	 16.0s
Ep 11	 reward -16.168	 ms 226.3	 loss -0.040720	 13.6s
Ep 12	 reward -16.186	 ms 226.6	 loss 0.018426	 14.9s
Ep 13	 reward -16.139	 ms 225.9	 loss 0.027236	 15.3s
Ep 14	 reward -16.150	 ms 226.1	 loss 0.007302	 15.8s
Ep 15	 reward -16.171	 ms 226.4	 loss -0.015122	 13.6s
Ep 16	 reward -15.921	 ms 222.9	 loss -0.012931	 14.5s
Ep 17	 reward -16.093	 ms 225.3	 loss -0.095761	 14.5s
Ep 18	 reward -16.004	 ms 224.1	 loss -0.043975	 15.6s
Ep 19	 reward -16.107	 ms 225.5	 loss -0.051627	 16.5s
Ep 20	 reward -15.993	 ms 223.9	 loss -0.044533	 17.3s
Ep 21	 reward -15.996	 ms 223.9	 loss 0.170376	 18.2s
Ep 22	 reward -16.061	 ms 224.8	 loss 0.047896	 14.6s
Ep 23	 reward -15.993	 ms 223.9	 loss 0.233636	 18.0s
Ep 24	 reward -16.043	 ms 224.6	 loss 0.129909	 17.3s
[vali @25] rel=0.9429 (best 0.9429)  L=214.0
Ep 25	 reward -15.964	 ms 223.5	 loss 0.022199	 27.9s
Ep 26	 reward -16.004	 ms 224.1	 loss 0.068442	 16.9s
Ep 27	 reward -16.136	 ms 225.9	 loss 0.059238	 16.4s
Ep 28	 reward -15.846	 ms 221.8	 loss 0.049929	 15.3s
Ep 29	 reward -15.961	 ms 223.4	 loss -0.024174	 15.8s
Ep 30	 reward -16.057	 ms 224.8	 loss 0.256509	 15.8s
Ep 31	 reward -16.118	 ms 225.7	 loss 0.061548	 16.7s
Ep 32	 reward -15.996	 ms 223.9	 loss 0.102564	 17.5s
Ep 33	 reward -16.111	 ms 225.6	 loss 0.237827	 17.5s
Ep 34	 reward -15.964	 ms 223.5	 loss 0.141306	 17.3s
Ep 35	 reward -15.946	 ms 223.2	 loss 0.132295	 16.4s
Ep 36	 reward -15.904	 ms 222.7	 loss 0.169110	 17.8s
Ep 37	 reward -16.104	 ms 225.4	 loss 0.036923	 15.3s
Ep 38	 reward -16.050	 ms 224.7	 loss 0.088285	 16.5s
Ep 39	 reward -15.825	 ms 221.6	 loss 0.051216	 15.4s
Ep 40	 reward -15.950	 ms 223.3	 loss -0.057505	 18.6s
Ep 41	 reward -16.075	 ms 225.1	 loss 0.042407	 14.6s
Ep 42	 reward -15.914	 ms 222.8	 loss 0.124223	 15.6s
Ep 43	 reward -15.882	 ms 222.3	 loss 0.025015	 16.0s
Ep 44	 reward -15.789	 ms 221.1	 loss 0.156246	 17.2s
Ep 45	 reward -15.986	 ms 223.8	 loss 0.045986	 14.5s
Ep 46	 reward -15.911	 ms 222.8	 loss 0.099561	 18.7s
Ep 47	 reward -15.836	 ms 221.7	 loss 0.055776	 18.5s
Ep 48	 reward -15.711	 ms 219.9	 loss 0.004684	 18.2s
Ep 49	 reward -15.725	 ms 220.2	 loss -0.038555	 18.2s
[vali @50] rel=0.9293 (best 0.9293)  L=210.9
Ep 50	 reward -15.729	 ms 220.2	 loss 0.058493	 31.5s
Ep 51	 reward -15.696	 ms 219.8	 loss 0.032126	 16.7s
Ep 52	 reward -15.811	 ms 221.3	 loss 0.000796	 16.1s
Ep 53	 reward -15.825	 ms 221.6	 loss 0.175597	 19.6s
Ep 54	 reward -15.754	 ms 220.6	 loss 0.009415	 16.2s
Ep 55	 reward -15.711	 ms 219.9	 loss -0.067045	 17.4s
Ep 56	 reward -15.732	 ms 220.2	 loss 0.067903	 16.0s
Ep 57	 reward -15.757	 ms 220.6	 loss -0.036384	 15.9s
Ep 58	 reward -15.768	 ms 220.8	 loss 0.019032	 16.0s
Ep 59	 reward -15.543	 ms 217.6	 loss 0.064118	 15.8s
Ep 60	 reward -15.629	 ms 218.8	 loss 0.060145	 15.4s
Ep 61	 reward -15.664	 ms 219.3	 loss 0.118072	 15.9s
Ep 62	 reward -15.621	 ms 218.7	 loss 0.130989	 17.0s
Ep 63	 reward -15.554	 ms 217.8	 loss 0.050888	 15.8s
Ep 64	 reward -15.543	 ms 217.6	 loss 0.139863	 17.0s
Ep 65	 reward -15.693	 ms 219.7	 loss 0.142364	 13.9s
Ep 66	 reward -15.575	 ms 218.1	 loss 0.201059	 16.5s
Ep 67	 reward -15.639	 ms 218.9	 loss 0.164794	 15.3s
Ep 68	 reward -15.457	 ms 216.4	 loss 0.158929	 16.5s
Ep 69	 reward -15.579	 ms 218.1	 loss 0.115514	 14.0s
Ep 70	 reward -15.575	 ms 218.1	 loss 0.131532	 14.5s
Ep 71	 reward -15.493	 ms 216.9	 loss 0.150396	 14.6s
Ep 72	 reward -15.593	 ms 218.3	 loss 0.119019	 16.9s
Ep 73	 reward -15.629	 ms 218.8	 loss 0.119782	 14.5s
Ep 74	 reward -15.493	 ms 216.9	 loss 0.164117	 16.8s
[vali @75] rel=0.9291 (best 0.9291)  L=210.8
Ep 75	 reward -15.479	 ms 216.7	 loss 0.164336	 26.2s
Ep 76	 reward -15.546	 ms 217.7	 loss 0.069520	 15.7s
Ep 77	 reward -15.557	 ms 217.8	 loss 0.062508	 16.7s
Ep 78	 reward -15.493	 ms 216.9	 loss 0.169966	 15.5s
Ep 79	 reward -15.507	 ms 217.1	 loss 0.155893	 16.1s
Ep 80	 reward -15.489	 ms 216.8	 loss 0.158836	 15.0s
Ep 81	 reward -15.446	 ms 216.2	 loss 0.203948	 15.3s
Ep 82	 reward -15.429	 ms 216.0	 loss 0.151276	 14.1s
Ep 83	 reward -15.529	 ms 217.4	 loss 0.205902	 12.9s
Ep 84	 reward -15.418	 ms 215.8	 loss 0.252206	 14.4s
Ep 85	 reward -15.268	 ms 213.8	 loss 0.200302	 13.0s
Ep 86	 reward -15.439	 ms 216.2	 loss 0.207080	 16.0s
Ep 87	 reward -15.414	 ms 215.8	 loss 0.151905	 11.3s
Ep 88	 reward -15.336	 ms 214.7	 loss 0.145042	 14.3s
Ep 89	 reward -15.282	 ms 213.9	 loss 0.134478	 13.4s
Ep 90	 reward -15.439	 ms 216.2	 loss 0.222368	 17.0s
Ep 91	 reward -15.361	 ms 215.1	 loss 0.225537	 14.1s
Ep 92	 reward -15.368	 ms 215.2	 loss 0.211650	 14.4s
Ep 93	 reward -15.479	 ms 216.7	 loss 0.240133	 13.5s
Ep 94	 reward -15.332	 ms 214.7	 loss 0.204637	 13.9s
Ep 95	 reward -15.443	 ms 216.2	 loss 0.313719	 14.7s
Ep 96	 reward -15.414	 ms 215.8	 loss 0.171125	 13.1s
Ep 97	 reward -15.411	 ms 215.8	 loss 0.262870	 15.2s
Ep 98	 reward -15.386	 ms 215.4	 loss 0.208105	 13.8s
Ep 99	 reward -15.307	 ms 214.3	 loss 0.160658	 14.4s
[vali @100] rel=0.9258 (best 0.9258)  L=210.1
Ep 100	 reward -15.354	 ms 214.9	 loss 0.086892	 21.6s
Ep 101	 reward -15.489	 ms 216.8	 loss -0.025322	 12.7s
Ep 102	 reward -15.396	 ms 215.6	 loss 0.017422	 9.3s
Ep 103	 reward -15.618	 ms 218.7	 loss -0.004822	 13.4s
Ep 104	 reward -15.600	 ms 218.4	 loss -0.025511	 11.9s
Ep 105	 reward -15.514	 ms 217.2	 loss -0.053420	 13.0s
Ep 106	 reward -15.389	 ms 215.4	 loss -0.003379	 17.0s
Ep 107	 reward -15.518	 ms 217.2	 loss 0.020926	 14.9s
Ep 108	 reward -15.614	 ms 218.6	 loss 0.085907	 15.4s
Ep 109	 reward -15.525	 ms 217.3	 loss -0.022299	 16.5s
Ep 110	 reward -15.646	 ms 219.1	 loss 0.048455	 14.5s
Ep 111	 reward -15.664	 ms 219.3	 loss 0.019156	 16.3s
Ep 112	 reward -15.471	 ms 216.6	 loss -0.029160	 14.5s
Ep 113	 reward -15.500	 ms 217.0	 loss -0.013615	 16.1s
Ep 114	 reward -15.496	 ms 216.9	 loss -0.021019	 15.0s
Ep 115	 reward -15.543	 ms 217.6	 loss -0.029916	 13.7s
Ep 116	 reward -15.421	 ms 215.9	 loss 0.100360	 15.0s
Ep 117	 reward -15.686	 ms 219.6	 loss 0.003615	 14.2s
Ep 118	 reward -15.479	 ms 216.7	 loss -0.029401	 16.0s
Ep 119	 reward -15.464	 ms 216.5	 loss 0.056531	 14.3s
Ep 120	 reward -15.336	 ms 214.7	 loss -0.060691	 15.0s
Ep 121	 reward -15.604	 ms 218.4	 loss 0.032786	 13.7s
Ep 122	 reward -15.579	 ms 218.1	 loss 0.064744	 16.1s
Ep 123	 reward -15.671	 ms 219.4	 loss 0.053996	 13.8s
Ep 124	 reward -15.718	 ms 220.1	 loss 0.252520	 17.1s
[vali @125] rel=0.9269 (best 0.9258)  L=210.3
Ep 125	 reward -15.411	 ms 215.8	 loss 0.159547	 25.8s
Ep 126	 reward -15.493	 ms 216.9	 loss 0.173011	 15.2s
Ep 127	 reward -15.421	 ms 215.9	 loss 0.143234	 15.5s
Ep 128	 reward -15.607	 ms 218.5	 loss -0.025126	 14.0s
Ep 129	 reward -15.632	 ms 218.8	 loss -0.027266	 19.2s
Ep 130	 reward -15.486	 ms 216.8	 loss -0.027306	 13.9s
Ep 131	 reward -15.564	 ms 217.9	 loss 0.111817	 15.4s
Ep 132	 reward -15.450	 ms 216.3	 loss 0.234976	 14.5s
Ep 133	 reward -15.439	 ms 216.2	 loss 0.072838	 16.6s
Ep 134	 reward -15.504	 ms 217.1	 loss 0.192505	 16.8s
Ep 135	 reward -15.543	 ms 217.6	 loss 0.192133	 18.5s
Ep 136	 reward -15.579	 ms 218.1	 loss 0.006206	 16.0s
Ep 137	 reward -15.536	 ms 217.5	 loss 0.223596	 17.6s
Ep 138	 reward -15.439	 ms 216.2	 loss -0.015586	 15.5s
Ep 139	 reward -15.536	 ms 217.5	 loss -0.017954	 16.7s
Ep 140	 reward -15.521	 ms 217.3	 loss 0.030456	 16.9s
Ep 141	 reward -15.536	 ms 217.5	 loss 0.017122	 15.7s
Ep 142	 reward -15.364	 ms 215.1	 loss -0.037106	 15.7s
Ep 143	 reward -15.493	 ms 216.9	 loss -0.036112	 15.7s
Ep 144	 reward -15.404	 ms 215.7	 loss 0.007810	 16.4s
Ep 145	 reward -15.493	 ms 216.9	 loss -0.017575	 15.3s
Ep 146	 reward -15.450	 ms 216.3	 loss -0.022640	 15.0s
Ep 147	 reward -15.379	 ms 215.3	 loss -0.003999	 15.7s
