[vali] MWKR norms: L=226.9
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-L regimes=['L'] updates=1000
Ep 1	 reward -16.461	 ms 230.4	 loss 0.053271	 27.7s
Ep 2	 reward -16.211	 ms 226.9	 loss 0.015567	 26.7s
Ep 3	 reward -16.264	 ms 227.7	 loss 0.005030	 27.0s
Ep 4	 reward -16.164	 ms 226.3	 loss -0.030331	 27.8s
Ep 5	 reward -16.332	 ms 228.7	 loss 0.050452	 26.7s
Ep 6	 reward -16.118	 ms 225.7	 loss 0.067250	 27.1s
Ep 7	 reward -16.254	 ms 227.6	 loss 0.133656	 26.4s
Ep 8	 reward -16.093	 ms 225.3	 loss 0.248812	 26.3s
Ep 9	 reward -16.139	 ms 225.9	 loss 0.114505	 27.6s
Ep 10	 reward -16.125	 ms 225.8	 loss 0.165867	 26.5s
Ep 11	 reward -16.129	 ms 225.8	 loss 0.127446	 26.1s
Ep 12	 reward -16.250	 ms 227.5	 loss 0.108107	 27.2s
Ep 13	 reward -16.054	 ms 224.8	 loss 0.088933	 39.3s
Ep 14	 reward -16.104	 ms 225.4	 loss 0.053191	 41.0s
Ep 15	 reward -16.025	 ms 224.3	 loss 0.092665	 31.7s
Ep 16	 reward -15.961	 ms 223.4	 loss 0.038899	 28.2s
Ep 17	 reward -16.150	 ms 226.1	 loss 0.040327	 28.9s
Ep 18	 reward -15.914	 ms 222.8	 loss 0.030615	 31.0s
Ep 19	 reward -15.818	 ms 221.4	 loss -0.031792	 28.2s
Ep 20	 reward -16.089	 ms 225.2	 loss 0.133584	 27.0s
Ep 21	 reward -15.889	 ms 222.4	 loss 0.097687	 27.3s
Ep 22	 reward -15.871	 ms 222.2	 loss 0.050207	 26.9s
Ep 23	 reward -15.843	 ms 221.8	 loss 0.060179	 27.2s
Ep 24	 reward -15.968	 ms 223.6	 loss 0.107868	 28.0s
[vali @25] rel=0.9542 (best 0.9542)  L=216.6
Ep 25	 reward -15.868	 ms 222.2	 loss 0.185708	 51.7s
Ep 26	 reward -15.857	 ms 222.0	 loss 0.166724	 28.7s
Ep 27	 reward -15.921	 ms 222.9	 loss 0.129090	 26.6s
Ep 28	 reward -15.911	 ms 222.8	 loss 0.206298	 26.8s
Ep 29	 reward -15.771	 ms 220.8	 loss 0.221484	 27.9s
Ep 30	 reward -15.668	 ms 219.3	 loss 0.175110	 28.1s
Ep 31	 reward -15.850	 ms 221.9	 loss 0.086447	 27.4s
Ep 32	 reward -15.639	 ms 218.9	 loss 0.133578	 28.4s
Ep 33	 reward -15.761	 ms 220.7	 loss 0.128443	 26.6s
Ep 34	 reward -15.664	 ms 219.3	 loss 0.126695	 26.9s
Ep 35	 reward -15.675	 ms 219.4	 loss 0.230136	 28.0s
Ep 36	 reward -15.611	 ms 218.6	 loss 0.157062	 28.0s
Ep 37	 reward -15.646	 ms 219.1	 loss -0.033559	 27.4s
Ep 38	 reward -15.721	 ms 220.1	 loss 0.111910	 27.4s
Ep 39	 reward -15.607	 ms 218.5	 loss 0.112257	 26.8s
Ep 40	 reward -15.646	 ms 219.1	 loss 0.226558	 28.6s
