[vali] MWKR norms: LS=304.4
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-LS-s303 regimes=['LS'] updates=1000
Ep 1	 reward -20.143	 ms 282.0	 loss 0.465707	 11.5s
Ep 2	 reward -20.282	 ms 283.9	 loss 0.487098	 10.8s
Ep 3	 reward -20.250	 ms 283.5	 loss 0.762528	 10.7s
Ep 4	 reward -20.061	 ms 280.9	 loss 0.400926	 11.5s
Ep 5	 reward -20.150	 ms 282.1	 loss 0.401576	 11.7s
Ep 6	 reward -20.304	 ms 284.2	 loss 0.477103	 11.0s
Ep 7	 reward -20.150	 ms 282.1	 loss 0.379508	 10.1s
Ep 8	 reward -20.289	 ms 284.1	 loss 0.362942	 10.8s
Ep 9	 reward -20.446	 ms 286.2	 loss 0.441216	 10.9s
Ep 10	 reward -20.254	 ms 283.6	 loss 0.368747	 10.5s
Ep 11	 reward -20.300	 ms 284.2	 loss 0.359796	 10.3s
Ep 12	 reward -20.336	 ms 284.7	 loss 0.262687	 10.9s
Ep 13	 reward -20.511	 ms 287.1	 loss 0.385475	 9.7s
Ep 14	 reward -20.250	 ms 283.5	 loss 0.303796	 9.3s
Ep 15	 reward -20.471	 ms 286.6	 loss 0.310236	 10.8s
Ep 16	 reward -20.300	 ms 284.2	 loss 0.230113	 10.3s
Ep 17	 reward -20.296	 ms 284.1	 loss 0.303223	 10.6s
Ep 18	 reward -20.282	 ms 283.9	 loss 0.183478	 10.7s
Ep 19	 reward -20.318	 ms 284.4	 loss 0.280505	 11.7s
Ep 20	 reward -20.111	 ms 281.6	 loss 0.339218	 9.4s
Ep 21	 reward -20.271	 ms 283.8	 loss 0.432296	 9.7s
Ep 22	 reward -20.171	 ms 282.4	 loss 0.465802	 9.4s
Ep 23	 reward -20.286	 ms 284.0	 loss 0.505465	 9.7s
Ep 24	 reward -20.282	 ms 283.9	 loss 0.459670	 9.0s
[vali @25] rel=0.8858 (best 0.8858)  LS=269.6
