[vali] MWKR norms: LS=305.9
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-LS regimes=['LS'] updates=1000
Ep 1	 reward -20.275	 ms 283.9	 loss 0.592636	 39.8s
Ep 2	 reward -20.325	 ms 284.6	 loss 0.473250	 36.3s
Ep 3	 reward -20.196	 ms 282.8	 loss 0.380044	 36.2s
Ep 4	 reward -20.221	 ms 283.1	 loss 0.458084	 41.6s
Ep 5	 reward -20.029	 ms 280.4	 loss 0.383224	 33.0s
Ep 6	 reward -20.200	 ms 282.8	 loss 0.513278	 35.7s
Ep 7	 reward -20.239	 ms 283.4	 loss 0.358800	 34.4s
Ep 8	 reward -20.200	 ms 282.8	 loss 0.290607	 38.2s
Ep 9	 reward -20.104	 ms 281.4	 loss 0.270847	 29.9s
Ep 10	 reward -20.218	 ms 283.1	 loss 0.435878	 39.7s
Ep 11	 reward -20.143	 ms 282.0	 loss 0.497652	 39.5s
Ep 12	 reward -20.143	 ms 282.0	 loss 0.319996	 39.4s
Ep 13	 reward -20.154	 ms 282.1	 loss 0.260787	 32.8s
Ep 14	 reward -20.157	 ms 282.2	 loss 0.171331	 39.2s
Ep 15	 reward -20.236	 ms 283.3	 loss 0.364519	 35.6s
Ep 16	 reward -20.171	 ms 282.4	 loss 0.173733	 39.0s
Ep 17	 reward -20.157	 ms 282.2	 loss 0.257660	 42.2s
Ep 18	 reward -20.125	 ms 281.8	 loss 0.094418	 38.3s
Ep 19	 reward -19.986	 ms 279.8	 loss 0.269129	 32.9s
Ep 20	 reward -20.039	 ms 280.6	 loss 0.257774	 35.6s
Ep 21	 reward -19.964	 ms 279.5	 loss 0.127153	 32.9s
Ep 22	 reward -20.061	 ms 280.9	 loss 0.229688	 35.9s
Ep 23	 reward -20.039	 ms 280.6	 loss 0.370765	 31.1s
Ep 24	 reward -19.896	 ms 278.6	 loss 0.319833	 38.7s
[vali @25] rel=0.8944 (best 0.8944)  LS=273.6
Ep 25	 reward -19.961	 ms 279.4	 loss 0.306930	 73.2s
Ep 26	 reward -20.139	 ms 281.9	 loss 0.428246	 34.4s
Ep 27	 reward -19.936	 ms 279.1	 loss 0.198108	 34.9s
Ep 28	 reward -19.961	 ms 279.4	 loss 0.353128	 41.4s
Ep 29	 reward -20.089	 ms 281.2	 loss 0.240394	 40.1s
Ep 30	 reward -19.964	 ms 279.5	 loss 0.155727	 37.8s
Ep 31	 reward -19.989	 ms 279.9	 loss 0.202798	 36.4s
Ep 32	 reward -20.239	 ms 283.4	 loss 0.385227	 42.8s
Ep 33	 reward -20.043	 ms 280.6	 loss 0.136954	 50.9s
Ep 34	 reward -19.961	 ms 279.4	 loss 0.385429	 41.4s
Ep 35	 reward -20.071	 ms 281.0	 loss 0.166868	 44.9s
Ep 36	 reward -20.032	 ms 280.4	 loss 0.332451	 46.1s
Ep 37	 reward -19.921	 ms 278.9	 loss 0.263720	 39.8s
Ep 38	 reward -20.186	 ms 282.6	 loss 0.231795	 38.9s
Ep 39	 reward -19.921	 ms 278.9	 loss 0.138291	 34.9s
Ep 40	 reward -19.950	 ms 279.3	 loss 0.202687	 35.2s
Ep 41	 reward -20.000	 ms 280.0	 loss 0.447380	 35.0s
Ep 42	 reward -20.000	 ms 280.0	 loss 0.345829	 32.5s
Ep 43	 reward -19.882	 ms 278.4	 loss 0.351786	 35.7s
Ep 44	 reward -19.900	 ms 278.6	 loss 0.334812	 30.8s
Ep 45	 reward -20.082	 ms 281.1	 loss 0.402338	 29.3s
Ep 46	 reward -19.989	 ms 279.9	 loss 0.333298	 32.5s
Ep 47	 reward -19.882	 ms 278.4	 loss 0.246982	 31.0s
Ep 48	 reward -19.868	 ms 278.1	 loss 0.317169	 32.4s
Ep 49	 reward -19.811	 ms 277.4	 loss 0.439989	 30.9s
[vali @50] rel=0.8800 (best 0.8800)  LS=269.1
Ep 50	 reward -19.911	 ms 278.8	 loss 0.191158	 65.3s
Ep 51	 reward -19.943	 ms 279.2	 loss 0.268171	 34.5s
Ep 52	 reward -19.836	 ms 277.7	 loss 0.223326	 33.6s
Ep 53	 reward -19.718	 ms 276.1	 loss 0.381420	 40.0s
Ep 54	 reward -19.914	 ms 278.8	 loss 0.259471	 33.6s
Ep 55	 reward -20.146	 ms 282.1	 loss 0.375091	 36.9s
Ep 56	 reward -19.864	 ms 278.1	 loss 0.416077	 38.2s
Ep 57	 reward -19.764	 ms 276.7	 loss 0.332700	 36.0s
Ep 58	 reward -20.054	 ms 280.8	 loss 0.433194	 38.2s
Ep 59	 reward -19.729	 ms 276.2	 loss 0.391118	 40.4s
Ep 60	 reward -20.014	 ms 280.2	 loss 0.345616	 38.3s
Ep 61	 reward -19.739	 ms 276.4	 loss 0.090890	 39.5s
Ep 62	 reward -19.750	 ms 276.5	 loss 0.156816	 32.0s
Ep 63	 reward -19.882	 ms 278.4	 loss 0.121911	 31.2s
Ep 64	 reward -19.836	 ms 277.7	 loss 0.186788	 35.5s
Ep 65	 reward -19.871	 ms 278.2	 loss 0.108987	 32.4s
Ep 66	 reward -19.800	 ms 277.2	 loss 0.129708	 32.0s
Ep 67	 reward -19.793	 ms 277.1	 loss 0.130741	 36.1s
Ep 68	 reward -19.879	 ms 278.3	 loss 0.103701	 33.9s
Ep 69	 reward -19.829	 ms 277.6	 loss 0.153385	 37.4s
Ep 70	 reward -19.736	 ms 276.3	 loss 0.139735	 30.2s
Ep 71	 reward -19.800	 ms 277.2	 loss 0.096679	 33.7s
Ep 72	 reward -19.796	 ms 277.1	 loss 0.159376	 34.7s
Ep 73	 reward -19.782	 ms 276.9	 loss 0.146227	 30.7s
Ep 74	 reward -19.604	 ms 274.4	 loss 0.133413	 36.3s
[vali @75] rel=0.8862 (best 0.8800)  LS=271.1
Ep 75	 reward -19.743	 ms 276.4	 loss 0.088081	 60.6s
Ep 76	 reward -19.768	 ms 276.8	 loss 0.131334	 31.3s
Ep 77	 reward -19.771	 ms 276.8	 loss 0.092037	 35.1s
Ep 78	 reward -19.693	 ms 275.7	 loss 0.170150	 32.6s
Ep 79	 reward -19.679	 ms 275.5	 loss 0.169591	 36.1s
Ep 80	 reward -19.875	 ms 278.2	 loss 0.177088	 33.9s
Ep 81	 reward -19.689	 ms 275.6	 loss 0.339097	 35.1s
Ep 82	 reward -19.589	 ms 274.2	 loss 0.211324	 35.2s
Ep 83	 reward -19.700	 ms 275.8	 loss 0.269686	 34.2s
Ep 84	 reward -19.539	 ms 273.6	 loss 0.030944	 37.2s
Ep 85	 reward -19.582	 ms 274.1	 loss 0.236993	 39.1s
Ep 86	 reward -19.518	 ms 273.2	 loss 0.284357	 40.8s
