[vali] MWKR norms: LSW=338.1
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-LSW-s303 regimes=['LSW'] updates=1000
Ep 1	 reward -21.400	 ms 299.6	 loss 1.141986	 8.2s
Ep 2	 reward -21.550	 ms 301.7	 loss 1.015578	 7.8s
Ep 3	 reward -21.657	 ms 303.2	 loss 1.474179	 7.8s
Ep 4	 reward -21.486	 ms 300.8	 loss 1.223344	 6.3s
Ep 5	 reward -21.468	 ms 300.6	 loss 1.130411	 7.6s
Ep 6	 reward -21.368	 ms 299.1	 loss 0.914593	 7.9s
Ep 7	 reward -21.275	 ms 297.9	 loss 0.671046	 7.7s
Ep 8	 reward -21.475	 ms 300.6	 loss 0.630169	 8.3s
Ep 9	 reward -21.450	 ms 300.3	 loss 0.772920	 7.3s
Ep 10	 reward -21.568	 ms 301.9	 loss 0.821517	 8.2s
Ep 11	 reward -21.475	 ms 300.6	 loss 0.614580	 8.3s
Ep 12	 reward -21.318	 ms 298.4	 loss 0.441112	 7.4s
Ep 13	 reward -21.268	 ms 297.8	 loss 0.604773	 7.6s
Ep 14	 reward -21.271	 ms 297.8	 loss 0.480059	 7.6s
Ep 15	 reward -21.482	 ms 300.8	 loss 0.587864	 7.7s
Ep 16	 reward -21.371	 ms 299.2	 loss 0.576386	 8.7s
Ep 17	 reward -21.511	 ms 301.1	 loss 0.467912	 7.9s
Ep 18	 reward -21.436	 ms 300.1	 loss 0.431005	 8.1s
Ep 19	 reward -21.311	 ms 298.4	 loss 0.390543	 9.0s
Ep 20	 reward -21.468	 ms 300.6	 loss 0.503619	 7.0s
Ep 21	 reward -21.707	 ms 303.9	 loss 0.471188	 7.1s
Ep 22	 reward -21.414	 ms 299.8	 loss 0.692626	 7.5s
Ep 23	 reward -21.479	 ms 300.7	 loss 0.730005	 6.9s
Ep 24	 reward -21.604	 ms 302.4	 loss 0.635171	 8.8s
[vali @25] rel=0.8473 (best 0.8473)  LSW=286.5
Ep 25	 reward -21.439	 ms 300.1	 loss 0.721419	 13.5s
Ep 26	 reward -21.382	 ms 299.4	 loss 0.414584	 6.8s
Ep 27	 reward -21.532	 ms 301.4	 loss 0.733785	 8.6s
Ep 28	 reward -21.475	 ms 300.6	 loss 0.434613	 7.7s
Ep 29	 reward -21.464	 ms 300.5	 loss 0.480839	 7.9s
Ep 30	 reward -21.564	 ms 301.9	 loss 0.462679	 6.1s
Ep 31	 reward -21.446	 ms 300.2	 loss 0.387235	 6.6s
Ep 32	 reward -21.439	 ms 300.1	 loss 0.455454	 7.4s
Ep 33	 reward -21.271	 ms 297.8	 loss 0.427231	 6.3s
Ep 34	 reward -21.475	 ms 300.6	 loss 0.590898	 6.9s
Ep 35	 reward -21.436	 ms 300.1	 loss 0.383901	 7.0s
Ep 36	 reward -21.496	 ms 300.9	 loss 0.375542	 7.2s
Ep 37	 reward -21.596	 ms 302.4	 loss 0.586144	 7.1s
Ep 38	 reward -21.518	 ms 301.2	 loss 0.547135	 6.9s
Ep 39	 reward -21.793	 ms 305.1	 loss 0.632418	 7.4s
Ep 40	 reward -21.896	 ms 306.6	 loss 0.478233	 7.5s
Ep 41	 reward -21.561	 ms 301.9	 loss 0.546815	 6.4s
Ep 42	 reward -21.607	 ms 302.5	 loss 0.509555	 8.6s
Ep 43	 reward -21.586	 ms 302.2	 loss 0.443705	 7.6s
Ep 44	 reward -21.389	 ms 299.4	 loss 0.504899	 8.2s
Ep 45	 reward -21.479	 ms 300.7	 loss 0.438751	 7.1s
Ep 46	 reward -21.532	 ms 301.4	 loss 0.488733	 7.5s
Ep 47	 reward -21.464	 ms 300.5	 loss 0.570198	 7.6s
Ep 48	 reward -21.404	 ms 299.6	 loss 0.387348	 7.8s
Ep 49	 reward -21.418	 ms 299.9	 loss 0.292889	 8.3s
[vali @50] rel=0.8873 (best 0.8473)  LSW=300.1
Ep 50	 reward -21.561	 ms 301.9	 loss 0.477146	 13.1s
Ep 51	 reward -21.568	 ms 301.9	 loss 0.335696	 7.9s
Ep 52	 reward -21.689	 ms 303.6	 loss 0.296514	 7.9s
Ep 53	 reward -21.682	 ms 303.6	 loss 0.288105	 8.6s
Ep 54	 reward -21.536	 ms 301.5	 loss 0.284458	 8.2s
