[vali] MWKR norms: LSW=338.1
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-LSW regimes=['LSW'] updates=1000
Ep 1	 reward -21.604	 ms 302.4	 loss 1.241410	 24.4s
Ep 2	 reward -21.711	 ms 303.9	 loss 1.120163	 24.2s
Ep 3	 reward -21.418	 ms 299.9	 loss 0.969258	 25.9s
Ep 4	 reward -21.421	 ms 299.9	 loss 0.876039	 24.6s
Ep 5	 reward -21.493	 ms 300.9	 loss 0.863611	 24.8s
Ep 6	 reward -21.689	 ms 303.6	 loss 1.140901	 24.9s
Ep 7	 reward -21.361	 ms 299.1	 loss 0.879566	 24.7s
Ep 8	 reward -21.525	 ms 301.4	 loss 0.724397	 25.0s
Ep 9	 reward -21.421	 ms 299.9	 loss 0.723316	 25.9s
Ep 10	 reward -21.400	 ms 299.6	 loss 0.708745	 29.2s
Ep 11	 reward -21.450	 ms 300.3	 loss 0.706353	 28.9s
Ep 12	 reward -21.746	 ms 304.4	 loss 0.603020	 28.5s
Ep 13	 reward -21.571	 ms 302.0	 loss 0.414536	 30.2s
Ep 14	 reward -21.786	 ms 305.0	 loss 0.713242	 27.7s
Ep 15	 reward -21.629	 ms 302.8	 loss 0.712570	 31.6s
Ep 16	 reward -21.696	 ms 303.8	 loss 0.515115	 30.7s
Ep 17	 reward -21.821	 ms 305.5	 loss 0.585253	 28.8s
Ep 18	 reward -21.607	 ms 302.5	 loss 0.417488	 28.6s
Ep 19	 reward -21.496	 ms 300.9	 loss 0.389806	 29.9s
Ep 20	 reward -21.682	 ms 303.6	 loss 0.444616	 29.8s
Ep 21	 reward -21.454	 ms 300.4	 loss 0.545670	 29.3s
Ep 22	 reward -21.496	 ms 300.9	 loss 0.564474	 29.4s
Ep 23	 reward -21.279	 ms 297.9	 loss 0.501492	 31.0s
Ep 24	 reward -21.346	 ms 298.9	 loss 0.469185	 29.0s
[vali @25] rel=0.8841 (best 0.8841)  LSW=298.9
Ep 25	 reward -21.450	 ms 300.3	 loss 0.500637	 55.3s
Ep 26	 reward -21.539	 ms 301.6	 loss 0.421712	 28.5s
Ep 27	 reward -21.554	 ms 301.8	 loss 0.465219	 28.4s
Ep 28	 reward -21.296	 ms 298.1	 loss 0.450517	 27.4s
Ep 29	 reward -21.471	 ms 300.6	 loss 0.378697	 28.2s
Ep 30	 reward -21.314	 ms 298.4	 loss 0.426855	 29.1s
Ep 31	 reward -21.421	 ms 299.9	 loss 0.432824	 30.2s
Ep 32	 reward -21.421	 ms 299.9	 loss 0.347850	 34.4s
Ep 33	 reward -21.432	 ms 300.1	 loss 0.434553	 32.5s
Ep 34	 reward -21.721	 ms 304.1	 loss 0.552430	 34.6s
Ep 35	 reward -21.471	 ms 300.6	 loss 0.425641	 32.7s
Ep 36	 reward -21.600	 ms 302.4	 loss 0.380522	 33.7s
Ep 37	 reward -21.675	 ms 303.4	 loss 0.399875	 33.2s
Ep 38	 reward -21.529	 ms 301.4	 loss 0.481455	 31.2s
Ep 39	 reward -21.607	 ms 302.5	 loss 0.327209	 33.8s
Ep 40	 reward -21.386	 ms 299.4	 loss 0.376505	 33.0s
Ep 41	 reward -21.757	 ms 304.6	 loss 0.598125	 33.6s
Ep 42	 reward -21.857	 ms 306.0	 loss 0.591145	 31.9s
Ep 43	 reward -21.811	 ms 305.4	 loss 0.405508	 34.6s
Ep 44	 reward -21.625	 ms 302.8	 loss 0.486151	 32.6s
Ep 45	 reward -21.732	 ms 304.2	 loss 0.455819	 30.5s
Ep 46	 reward -21.857	 ms 306.0	 loss 0.407422	 28.8s
Ep 47	 reward -21.554	 ms 301.8	 loss 0.500865	 33.2s
Ep 48	 reward -21.911	 ms 306.8	 loss 0.420174	 33.5s
Ep 49	 reward -21.896	 ms 306.6	 loss 0.455476	 31.8s
[vali @50] rel=0.9021 (best 0.8841)  LSW=305.1
Ep 50	 reward -21.854	 ms 305.9	 loss 0.408142	 62.1s
Ep 51	 reward -21.696	 ms 303.8	 loss 0.572925	 32.0s
Ep 52	 reward -21.868	 ms 306.1	 loss 0.515616	 33.0s
Ep 53	 reward -21.821	 ms 305.5	 loss 0.466781	 32.3s
Ep 54	 reward -21.986	 ms 307.8	 loss 0.521696	 34.0s
Ep 55	 reward -21.721	 ms 304.1	 loss 0.472255	 32.2s
Ep 56	 reward -21.825	 ms 305.6	 loss 0.430364	 32.9s
Ep 57	 reward -21.907	 ms 306.7	 loss 0.270834	 32.2s
Ep 58	 reward -21.771	 ms 304.8	 loss 0.595800	 32.4s
Ep 59	 reward -21.604	 ms 302.4	 loss 0.388267	 32.9s
Ep 60	 reward -21.682	 ms 303.6	 loss 0.453510	 31.4s
Ep 61	 reward -21.607	 ms 302.5	 loss 0.285872	 32.7s
Ep 62	 reward -21.639	 ms 302.9	 loss 0.292113	 30.4s
Ep 63	 reward -21.471	 ms 300.6	 loss 0.304444	 32.0s
Ep 64	 reward -21.511	 ms 301.1	 loss 0.317587	 31.1s
Ep 65	 reward -21.493	 ms 300.9	 loss 0.314565	 33.3s
Ep 66	 reward -21.504	 ms 301.1	 loss 0.274169	 32.8s
Ep 67	 reward -21.650	 ms 303.1	 loss 0.202275	 33.7s
Ep 68	 reward -21.421	 ms 299.9	 loss 0.252839	 33.9s
Ep 69	 reward -21.479	 ms 300.7	 loss 0.241726	 32.7s
Ep 70	 reward -21.511	 ms 301.1	 loss 0.196756	 33.0s
Ep 71	 reward -21.589	 ms 302.2	 loss 0.301465	 31.8s
Ep 72	 reward -21.625	 ms 302.8	 loss 0.270735	 31.0s
Ep 73	 reward -21.604	 ms 302.4	 loss 0.195588	 31.6s
Ep 74	 reward -21.300	 ms 298.2	 loss 0.324562	 34.3s
[vali @75] rel=0.8866 (best 0.8841)  LSW=299.8
Ep 75	 reward -21.414	 ms 299.8	 loss 0.228712	 62.7s
Ep 76	 reward -21.143	 ms 296.0	 loss 0.335313	 32.8s
Ep 77	 reward -21.354	 ms 298.9	 loss 0.318620	 32.8s
Ep 78	 reward -21.329	 ms 298.6	 loss 0.388200	 33.4s
Ep 79	 reward -21.489	 ms 300.9	 loss 0.269006	 32.3s
Ep 80	 reward -21.375	 ms 299.2	 loss 0.359573	 33.2s
Ep 81	 reward -21.332	 ms 298.6	 loss 0.537864	 31.5s
Ep 82	 reward -21.436	 ms 300.1	 loss 0.431492	 31.7s
Ep 83	 reward -21.396	 ms 299.6	 loss 0.643735	 31.4s
Ep 84	 reward -21.339	 ms 298.8	 loss 0.465267	 31.4s
Ep 85	 reward -21.193	 ms 296.7	 loss 0.493268	 30.8s
Ep 86	 reward -21.275	 ms 297.9	 loss 0.432237	 31.8s
Ep 87	 reward -21.429	 ms 300.0	 loss 0.573864	 34.5s
Ep 88	 reward -21.214	 ms 297.0	 loss 0.661305	 31.8s
Ep 89	 reward -21.279	 ms 297.9	 loss 0.344859	 33.4s
Ep 90	 reward -21.364	 ms 299.1	 loss 0.403572	 33.8s
Ep 91	 reward -21.339	 ms 298.8	 loss 0.292033	 33.7s
Ep 92	 reward -21.332	 ms 298.6	 loss 0.575175	 31.2s
Ep 93	 reward -21.264	 ms 297.7	 loss 0.487981	 33.3s
Ep 94	 reward -21.479	 ms 300.7	 loss 0.206765	 32.2s
Ep 95	 reward -21.300	 ms 298.2	 loss 0.384403	 33.0s
Ep 96	 reward -21.275	 ms 297.9	 loss 0.337259	 33.4s
Ep 97	 reward -21.314	 ms 298.4	 loss 0.606430	 31.4s
Ep 98	 reward -21.171	 ms 296.4	 loss 0.318029	 33.7s
Ep 99	 reward -21.311	 ms 298.4	 loss 0.574345	 32.8s
[vali @100] rel=0.8606 (best 0.8606)  LSW=291.0
Ep 100	 reward -21.043	 ms 294.6	 loss 0.566489	 58.6s
Ep 101	 reward -21.211	 ms 296.9	 loss 0.555403	 34.5s
Ep 102	 reward -21.304	 ms 298.2	 loss 0.337100	 32.3s
Ep 103	 reward -21.329	 ms 298.6	 loss 0.496441	 32.8s
Ep 104	 reward -21.357	 ms 299.0	 loss 0.422393	 33.1s
Ep 105	 reward -21.311	 ms 298.4	 loss 0.495637	 30.6s
Ep 106	 reward -21.125	 ms 295.8	 loss 0.453461	 33.5s
Ep 107	 reward -21.025	 ms 294.4	 loss 0.174636	 32.7s
Ep 108	 reward -20.836	 ms 291.7	 loss 0.290418	 31.7s
Ep 109	 reward -21.121	 ms 295.7	 loss 0.266025	 32.5s
Ep 110	 reward -21.196	 ms 296.8	 loss 0.509072	 33.4s
Ep 111	 reward -21.161	 ms 296.2	 loss 0.562071	 33.1s
Ep 112	 reward -21.329	 ms 298.6	 loss 0.367699	 32.4s
Ep 113	 reward -21.100	 ms 295.4	 loss 0.346337	 33.7s
Ep 114	 reward -21.064	 ms 294.9	 loss 0.216323	 33.8s
Ep 115	 reward -21.011	 ms 294.1	 loss 0.505497	 34.7s
Ep 116	 reward -21.004	 ms 294.1	 loss 0.237748	 34.2s
Ep 117	 reward -21.007	 ms 294.1	 loss 0.450704	 34.3s
Ep 118	 reward -21.257	 ms 297.6	 loss 0.489177	 32.4s
Ep 119	 reward -21.064	 ms 294.9	 loss 0.161471	 32.6s
Ep 120	 reward -21.079	 ms 295.1	 loss 0.504956	 32.1s
Ep 121	 reward -21.136	 ms 295.9	 loss 0.453109	 32.1s
Ep 122	 reward -20.964	 ms 293.5	 loss 0.410894	 30.9s
Ep 123	 reward -21.164	 ms 296.3	 loss 0.505976	 33.1s
Ep 124	 reward -21.082	 ms 295.1	 loss 0.398024	 33.2s
[vali @125] rel=0.8581 (best 0.8581)  LSW=290.1
Ep 125	 reward -20.950	 ms 293.3	 loss 0.474573	 63.6s
Ep 126	 reward -21.089	 ms 295.2	 loss 0.396324	 32.8s
Ep 127	 reward -21.043	 ms 294.6	 loss 0.705256	 35.0s
Ep 128	 reward -20.868	 ms 292.1	 loss 0.293896	 34.5s
Ep 129	 reward -20.943	 ms 293.2	 loss 0.372292	 32.7s
Ep 130	 reward -21.086	 ms 295.2	 loss 0.355364	 32.2s
Ep 131	 reward -21.054	 ms 294.8	 loss 0.417346	 31.3s
Ep 132	 reward -20.886	 ms 292.4	 loss 0.397169	 35.2s
Ep 133	 reward -20.793	 ms 291.1	 loss 0.611370	 34.4s
Ep 134	 reward -20.968	 ms 293.6	 loss 0.431892	 33.4s
Ep 135	 reward -21.018	 ms 294.2	 loss 0.579478	 31.9s
Ep 136	 reward -20.968	 ms 293.6	 loss 0.489331	 33.6s
Ep 137	 reward -21.114	 ms 295.6	 loss 0.397338	 32.8s
Ep 138	 reward -20.986	 ms 293.8	 loss 0.473296	 32.8s
Ep 139	 reward -20.861	 ms 292.1	 loss 0.351174	 32.5s
Ep 140	 reward -20.886	 ms 292.4	 loss 0.347921	 31.7s
Ep 141	 reward -21.093	 ms 295.3	 loss 0.530826	 32.3s
Ep 142	 reward -20.768	 ms 290.8	 loss 0.338233	 33.0s
Ep 143	 reward -20.964	 ms 293.5	 loss 0.571199	 31.2s
Ep 144	 reward -21.071	 ms 295.0	 loss 0.337922	 32.4s
Ep 145	 reward -21.264	 ms 297.7	 loss 0.463473	 33.3s
Ep 146	 reward -20.879	 ms 292.3	 loss 0.433461	 30.8s
Ep 147	 reward -20.846	 ms 291.9	 loss 0.334880	 31.9s
Ep 148	 reward -21.057	 ms 294.8	 loss 0.612140	 32.9s
Ep 149	 reward -21.068	 ms 294.9	 loss 0.384789	 33.2s
[vali @150] rel=0.8561 (best 0.8561)  LSW=289.5
Ep 150	 reward -21.300	 ms 298.2	 loss 0.551414	 62.7s
Ep 151	 reward -21.157	 ms 296.2	 loss 0.363748	 34.1s
Ep 152	 reward -20.982	 ms 293.8	 loss 0.485789	 32.3s
Ep 153	 reward -21.264	 ms 297.7	 loss 0.472910	 34.6s
Ep 154	 reward -21.036	 ms 294.5	 loss 0.353821	 32.9s
Ep 155	 reward -21.054	 ms 294.8	 loss 0.401396	 33.3s
Ep 156	 reward -20.946	 ms 293.2	 loss 0.518801	 32.7s
Ep 157	 reward -20.761	 ms 290.6	 loss 0.345649	 32.8s
Ep 158	 reward -21.111	 ms 295.6	 loss 0.618663	 31.5s
Ep 159	 reward -20.986	 ms 293.8	 loss 0.535972	 33.5s
