[vali] MWKR norms: LW=243.4
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-LW-s303 regimes=['LW'] updates=1000
Ep 1	 reward -17.139	 ms 239.9	 loss 0.289869	 13.1s
Ep 2	 reward -16.789	 ms 235.1	 loss 0.143404	 11.3s
Ep 3	 reward -16.836	 ms 235.7	 loss 0.100737	 11.5s
Ep 4	 reward -17.154	 ms 240.2	 loss 0.189461	 10.7s
Ep 5	 reward -16.893	 ms 236.5	 loss 0.116900	 11.1s
Ep 6	 reward -17.079	 ms 239.1	 loss 0.145289	 10.8s
Ep 7	 reward -16.982	 ms 237.8	 loss 0.142915	 9.7s
Ep 8	 reward -16.979	 ms 237.7	 loss 0.125201	 10.2s
Ep 9	 reward -16.846	 ms 235.8	 loss 0.175397	 11.6s
Ep 10	 reward -17.139	 ms 239.9	 loss 0.122236	 10.7s
Ep 11	 reward -16.889	 ms 236.4	 loss 0.096061	 10.3s
Ep 12	 reward -16.954	 ms 237.3	 loss 0.104091	 11.1s
Ep 13	 reward -16.829	 ms 235.6	 loss 0.049162	 10.6s
Ep 14	 reward -17.136	 ms 239.9	 loss 0.057815	 9.5s
Ep 15	 reward -17.050	 ms 238.7	 loss 0.084544	 9.8s
Ep 16	 reward -17.100	 ms 239.4	 loss 0.169475	 9.5s
Ep 17	 reward -17.068	 ms 238.9	 loss 0.081585	 9.9s
Ep 18	 reward -17.079	 ms 239.1	 loss 0.084975	 9.5s
Ep 19	 reward -16.850	 ms 235.9	 loss 0.070930	 10.4s
Ep 20	 reward -16.936	 ms 237.1	 loss 0.086474	 10.3s
Ep 21	 reward -16.868	 ms 236.2	 loss 0.143919	 10.8s
Ep 22	 reward -16.721	 ms 234.1	 loss 0.061992	 11.1s
Ep 23	 reward -16.832	 ms 235.7	 loss 0.340729	 11.4s
Ep 24	 reward -16.929	 ms 237.0	 loss 0.015623	 12.1s
[vali @25] rel=0.9226 (best 0.9226)  LW=224.6
Ep 25	 reward -16.893	 ms 236.5	 loss 0.093685	 17.9s
Ep 26	 reward -16.757	 ms 234.6	 loss 0.195897	 11.6s
Ep 27	 reward -16.771	 ms 234.8	 loss 0.081199	 10.4s
Ep 28	 reward -16.696	 ms 233.8	 loss 0.062152	 12.4s
Ep 29	 reward -16.596	 ms 232.3	 loss 0.055643	 12.3s
Ep 30	 reward -16.618	 ms 232.7	 loss 0.052007	 11.6s
Ep 31	 reward -16.675	 ms 233.4	 loss 0.143692	 9.7s
