[vali] MWKR norms: LW=252.9
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-LW regimes=['LW'] updates=1000
Ep 1	 reward -17.282	 ms 241.9	 loss 0.238281	 35.5s
Ep 2	 reward -17.089	 ms 239.2	 loss 0.280747	 36.4s
Ep 3	 reward -16.979	 ms 237.7	 loss 0.179845	 31.1s
Ep 4	 reward -17.136	 ms 239.9	 loss 0.170873	 36.0s
Ep 5	 reward -16.957	 ms 237.4	 loss 0.315295	 40.6s
Ep 6	 reward -17.061	 ms 238.8	 loss 0.238846	 36.0s
Ep 7	 reward -17.086	 ms 239.2	 loss 0.355407	 36.1s
Ep 8	 reward -17.029	 ms 238.4	 loss 0.326867	 30.0s
Ep 9	 reward -16.964	 ms 237.5	 loss 0.341162	 38.1s
Ep 10	 reward -16.868	 ms 236.2	 loss 0.370121	 35.8s
Ep 11	 reward -16.971	 ms 237.6	 loss 0.295710	 29.6s
Ep 12	 reward -16.982	 ms 237.8	 loss 0.161603	 37.9s
Ep 13	 reward -16.864	 ms 236.1	 loss 0.326828	 29.7s
Ep 14	 reward -16.829	 ms 235.6	 loss 0.101132	 29.4s
Ep 15	 reward -17.139	 ms 239.9	 loss 0.249664	 23.1s
Ep 16	 reward -16.779	 ms 234.9	 loss 0.160768	 30.2s
Ep 17	 reward -16.675	 ms 233.4	 loss 0.002453	 25.8s
Ep 18	 reward -17.050	 ms 238.7	 loss 0.165219	 23.7s
Ep 19	 reward -16.800	 ms 235.2	 loss 0.275181	 29.5s
Ep 20	 reward -16.864	 ms 236.1	 loss 0.243882	 24.0s
Ep 21	 reward -16.700	 ms 233.8	 loss 0.201800	 23.7s
Ep 22	 reward -16.650	 ms 233.1	 loss 0.172259	 24.1s
Ep 23	 reward -16.668	 ms 233.3	 loss 0.357314	 20.0s
Ep 24	 reward -16.707	 ms 233.9	 loss 0.088051	 24.4s
[vali @25] rel=0.8891 (best 0.8891)  LW=224.9
Ep 25	 reward -16.775	 ms 234.8	 loss 0.147045	 55.7s
Ep 26	 reward -16.754	 ms 234.6	 loss 0.231273	 32.8s
Ep 27	 reward -16.696	 ms 233.8	 loss 0.125128	 34.6s
Ep 28	 reward -16.718	 ms 234.1	 loss 0.209806	 30.9s
Ep 29	 reward -16.814	 ms 235.4	 loss 0.279068	 32.4s
Ep 30	 reward -16.629	 ms 232.8	 loss 0.079669	 34.3s
Ep 31	 reward -16.604	 ms 232.4	 loss 0.053799	 38.7s
Ep 32	 reward -16.525	 ms 231.3	 loss 0.119840	 28.3s
Ep 33	 reward -16.482	 ms 230.8	 loss 0.052390	 30.8s
Ep 34	 reward -16.571	 ms 232.0	 loss 0.324132	 33.4s
Ep 35	 reward -16.407	 ms 229.7	 loss 0.013200	 33.4s
Ep 36	 reward -16.407	 ms 229.7	 loss 0.009161	 37.6s
Ep 37	 reward -16.693	 ms 233.7	 loss 0.229781	 38.6s
Ep 38	 reward -16.311	 ms 228.3	 loss 0.203948	 30.6s
Ep 39	 reward -16.529	 ms 231.4	 loss 0.234975	 36.3s
Ep 40	 reward -16.475	 ms 230.7	 loss 0.255478	 32.8s
Ep 41	 reward -16.525	 ms 231.3	 loss 0.151852	 42.6s
Ep 42	 reward -16.561	 ms 231.8	 loss 0.087553	 34.6s
Ep 43	 reward -16.500	 ms 231.0	 loss 0.050112	 31.7s
Ep 44	 reward -16.554	 ms 231.8	 loss 0.118150	 34.6s
Ep 45	 reward -16.479	 ms 230.7	 loss 0.089190	 31.0s
Ep 46	 reward -16.604	 ms 232.4	 loss 0.046284	 37.1s
Ep 47	 reward -16.543	 ms 231.6	 loss 0.113022	 26.3s
Ep 48	 reward -16.618	 ms 232.7	 loss 0.093201	 41.0s
Ep 49	 reward -16.529	 ms 231.4	 loss 0.226810	 35.4s
[vali @50] rel=0.8832 (best 0.8832)  LW=223.4
Ep 50	 reward -16.586	 ms 232.2	 loss 0.271418	 65.7s
Ep 51	 reward -16.446	 ms 230.2	 loss 0.066258	 34.6s
Ep 52	 reward -16.443	 ms 230.2	 loss 0.129714	 41.8s
Ep 53	 reward -16.464	 ms 230.5	 loss 0.102148	 26.5s
Ep 54	 reward -16.482	 ms 230.8	 loss 0.094004	 34.7s
Ep 55	 reward -16.429	 ms 230.0	 loss 0.188680	 40.2s
Ep 56	 reward -16.450	 ms 230.3	 loss 0.033733	 38.1s
Ep 57	 reward -16.482	 ms 230.8	 loss 0.050953	 37.7s
Ep 58	 reward -16.518	 ms 231.2	 loss 0.208757	 32.4s
Ep 59	 reward -16.461	 ms 230.4	 loss 0.161644	 34.0s
Ep 60	 reward -16.404	 ms 229.7	 loss 0.248713	 30.4s
Ep 61	 reward -16.511	 ms 231.2	 loss 0.104089	 38.6s
Ep 62	 reward -16.411	 ms 229.8	 loss 0.208024	 44.4s
Ep 63	 reward -16.400	 ms 229.6	 loss 0.096636	 33.1s
Ep 64	 reward -16.607	 ms 232.5	 loss 0.124133	 37.8s
Ep 65	 reward -16.507	 ms 231.1	 loss 0.138633	 29.7s
Ep 66	 reward -16.379	 ms 229.3	 loss 0.119320	 37.6s
Ep 67	 reward -16.479	 ms 230.7	 loss 0.081157	 34.0s
Ep 68	 reward -16.486	 ms 230.8	 loss 0.183138	 34.3s
Ep 69	 reward -16.343	 ms 228.8	 loss 0.167415	 36.0s
Ep 70	 reward -16.507	 ms 231.1	 loss 0.163123	 28.5s
Ep 71	 reward -16.375	 ms 229.2	 loss 0.091881	 35.3s
Ep 72	 reward -16.421	 ms 229.9	 loss 0.146970	 31.7s
Ep 73	 reward -16.396	 ms 229.6	 loss 0.070912	 36.6s
Ep 74	 reward -16.321	 ms 228.5	 loss 0.104412	 41.5s
