[vali] MWKR norms: N=156.6
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-N-s303 regimes=['N'] updates=1000
Ep 1	 reward -10.414	 ms 145.8	 loss 0.664971	 11.1s
Ep 2	 reward -10.532	 ms 147.4	 loss 0.613871	 9.2s
Ep 3	 reward -10.443	 ms 146.2	 loss 0.729894	 10.5s
Ep 4	 reward -10.518	 ms 147.2	 loss 0.710748	 10.2s
Ep 5	 reward -10.486	 ms 146.8	 loss 0.525440	 9.8s
Ep 6	 reward -10.521	 ms 147.3	 loss 0.367878	 9.1s
Ep 7	 reward -10.564	 ms 147.9	 loss 0.375506	 10.1s
Ep 8	 reward -10.529	 ms 147.4	 loss 0.364377	 11.0s
Ep 9	 reward -10.500	 ms 147.0	 loss 0.315609	 10.5s
Ep 10	 reward -10.496	 ms 146.9	 loss 0.210200	 9.7s
Ep 11	 reward -10.521	 ms 147.3	 loss 0.226539	 10.9s
Ep 12	 reward -10.643	 ms 149.0	 loss 0.200693	 10.5s
Ep 13	 reward -10.525	 ms 147.3	 loss 0.122640	 11.0s
Ep 14	 reward -10.346	 ms 144.8	 loss 0.096010	 11.0s
Ep 15	 reward -10.407	 ms 145.7	 loss 0.104108	 10.7s
Ep 16	 reward -10.336	 ms 144.7	 loss 0.068848	 11.5s
Ep 17	 reward -10.607	 ms 148.5	 loss 0.127176	 10.7s
Ep 18	 reward -10.325	 ms 144.6	 loss 0.009192	 10.7s
Ep 19	 reward -10.639	 ms 148.9	 loss 0.114172	 10.1s
Ep 20	 reward -10.468	 ms 146.6	 loss 0.007100	 10.3s
Ep 21	 reward -10.507	 ms 147.1	 loss 0.155247	 10.6s
Ep 22	 reward -10.489	 ms 146.8	 loss 0.271539	 10.6s
Ep 23	 reward -10.457	 ms 146.4	 loss 0.157849	 12.0s
Ep 24	 reward -10.575	 ms 148.1	 loss 0.074056	 12.2s
[vali @25] rel=0.9151 (best 0.9151)  N=143.3
Ep 25	 reward -10.382	 ms 145.3	 loss 0.217680	 20.4s
Ep 26	 reward -10.439	 ms 146.2	 loss 0.088582	 11.3s
Ep 27	 reward -10.400	 ms 145.6	 loss 0.183922	 13.3s
Ep 28	 reward -10.443	 ms 146.2	 loss 0.187071	 13.5s
