[vali] MWKR norms: N=156.6
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-N regimes=['N'] updates=1000
Ep 1	 reward -10.296	 ms 144.2	 loss 0.591561	 28.3s
Ep 2	 reward -10.221	 ms 143.1	 loss 0.425415	 27.0s
Ep 3	 reward -10.300	 ms 144.2	 loss 0.560543	 23.9s
Ep 4	 reward -10.446	 ms 146.2	 loss 0.550687	 25.8s
Ep 5	 reward -10.400	 ms 145.6	 loss 0.483952	 25.8s
Ep 6	 reward -10.218	 ms 143.1	 loss 0.530171	 26.3s
Ep 7	 reward -10.300	 ms 144.2	 loss 0.523583	 26.8s
Ep 8	 reward -10.179	 ms 142.5	 loss 0.343670	 26.9s
Ep 9	 reward -10.318	 ms 144.4	 loss 0.400549	 26.1s
Ep 10	 reward -10.304	 ms 144.2	 loss 0.204133	 26.9s
Ep 11	 reward -10.404	 ms 145.7	 loss 0.331652	 25.8s
Ep 12	 reward -10.279	 ms 143.9	 loss 0.248290	 26.0s
Ep 13	 reward -10.250	 ms 143.5	 loss 0.110838	 27.0s
Ep 14	 reward -10.268	 ms 143.8	 loss 0.260914	 26.5s
Ep 15	 reward -10.232	 ms 143.2	 loss 0.121412	 27.2s
Ep 16	 reward -10.339	 ms 144.8	 loss 0.131419	 36.7s
Ep 17	 reward -10.354	 ms 144.9	 loss 0.023725	 39.7s
Ep 18	 reward -10.246	 ms 143.4	 loss 0.095065	 36.9s
Ep 19	 reward -10.236	 ms 143.3	 loss 0.081314	 26.1s
Ep 20	 reward -10.296	 ms 144.2	 loss 0.069917	 29.1s
Ep 21	 reward -10.564	 ms 147.9	 loss 0.235288	 29.8s
Ep 22	 reward -10.357	 ms 145.0	 loss 0.226925	 28.9s
Ep 23	 reward -10.475	 ms 146.7	 loss 0.217135	 27.1s
Ep 24	 reward -10.414	 ms 145.8	 loss 0.247863	 27.3s
[vali @25] rel=0.8519 (best 0.8519)  N=133.4
Ep 25	 reward -10.361	 ms 145.1	 loss 0.229155	 51.2s
Ep 26	 reward -10.186	 ms 142.6	 loss 0.127309	 27.4s
Ep 27	 reward -10.271	 ms 143.8	 loss 0.186581	 29.0s
