[vali] MWKR norms: S=240.4
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-S-s303 regimes=['S'] updates=1000
Ep 1	 reward -14.593	 ms 204.3	 loss 1.679437	 13.5s
Ep 2	 reward -14.621	 ms 204.7	 loss 1.519833	 15.2s
Ep 3	 reward -14.507	 ms 203.1	 loss 1.545032	 12.1s
Ep 4	 reward -14.689	 ms 205.7	 loss 1.607442	 13.5s
Ep 5	 reward -14.711	 ms 205.9	 loss 1.669051	 13.8s
Ep 6	 reward -14.593	 ms 204.3	 loss 1.272982	 13.9s
Ep 7	 reward -14.864	 ms 208.1	 loss 1.254163	 12.8s
Ep 8	 reward -14.657	 ms 205.2	 loss 1.120664	 11.8s
Ep 9	 reward -14.775	 ms 206.8	 loss 0.926933	 12.3s
Ep 10	 reward -14.786	 ms 207.0	 loss 0.891748	 9.7s
Ep 11	 reward -14.761	 ms 206.7	 loss 0.646804	 13.2s
Ep 12	 reward -14.732	 ms 206.2	 loss 0.707368	 13.2s
Ep 13	 reward -14.607	 ms 204.5	 loss 0.622986	 12.0s
Ep 14	 reward -14.632	 ms 204.8	 loss 0.517172	 16.4s
Ep 15	 reward -14.796	 ms 207.2	 loss 0.472995	 13.7s
Ep 16	 reward -14.621	 ms 204.7	 loss 0.438821	 14.0s
Ep 17	 reward -14.607	 ms 204.5	 loss 0.386923	 14.6s
Ep 18	 reward -14.575	 ms 204.1	 loss 0.397336	 15.5s
Ep 19	 reward -14.682	 ms 205.6	 loss 0.361306	 14.2s
Ep 20	 reward -14.743	 ms 206.4	 loss 0.419313	 17.8s
Ep 21	 reward -14.629	 ms 204.8	 loss 0.619212	 14.1s
Ep 22	 reward -14.618	 ms 204.7	 loss 0.481712	 16.0s
Ep 23	 reward -14.646	 ms 205.1	 loss 0.456722	 13.2s
Ep 24	 reward -14.661	 ms 205.2	 loss 0.509175	 12.8s
[vali @25] rel=0.8690 (best 0.8690)  S=208.9
Ep 25	 reward -14.732	 ms 206.2	 loss 0.494982	 21.4s
Ep 26	 reward -14.718	 ms 206.1	 loss 0.437615	 14.0s
Ep 27	 reward -14.557	 ms 203.8	 loss 0.432380	 13.2s
Ep 28	 reward -14.664	 ms 205.3	 loss 0.397699	 15.2s
Ep 29	 reward -14.775	 ms 206.8	 loss 0.394726	 13.1s
Ep 30	 reward -14.575	 ms 204.1	 loss 0.480679	 14.2s
Ep 31	 reward -14.696	 ms 205.8	 loss 0.354650	 14.8s
Ep 32	 reward -14.807	 ms 207.3	 loss 0.450549	 15.1s
Ep 33	 reward -14.582	 ms 204.2	 loss 0.415143	 15.2s
Ep 34	 reward -15.075	 ms 211.1	 loss 0.377412	 16.1s
Ep 35	 reward -14.814	 ms 207.4	 loss 0.465788	 15.9s
Ep 36	 reward -14.825	 ms 207.6	 loss 0.385080	 14.8s
Ep 37	 reward -15.089	 ms 211.2	 loss 0.396415	 15.5s
Ep 38	 reward -15.082	 ms 211.2	 loss 0.381392	 15.1s
Ep 39	 reward -15.093	 ms 211.3	 loss 0.417295	 14.7s
Ep 40	 reward -14.846	 ms 207.8	 loss 0.392101	 16.2s
Ep 41	 reward -14.611	 ms 204.6	 loss 0.546518	 15.5s
Ep 42	 reward -14.732	 ms 206.2	 loss 0.467170	 16.0s
Ep 43	 reward -14.693	 ms 205.7	 loss 0.438501	 15.3s
Ep 44	 reward -14.725	 ms 206.2	 loss 0.359185	 16.4s
Ep 45	 reward -14.757	 ms 206.6	 loss 0.503019	 16.0s
Ep 46	 reward -14.607	 ms 204.5	 loss 0.474201	 16.4s
Ep 47	 reward -14.432	 ms 202.1	 loss 0.278952	 15.7s
Ep 48	 reward -14.746	 ms 206.4	 loss 0.339860	 17.9s
Ep 49	 reward -14.689	 ms 205.7	 loss 0.332199	 14.9s
[vali @50] rel=0.8762 (best 0.8690)  S=210.7
Ep 50	 reward -14.689	 ms 205.7	 loss 0.340327	 25.1s
Ep 51	 reward -14.593	 ms 204.3	 loss 0.437932	 17.1s
Ep 52	 reward -14.893	 ms 208.5	 loss 0.408887	 16.3s
Ep 53	 reward -14.575	 ms 204.1	 loss 0.313462	 14.7s
Ep 54	 reward -14.829	 ms 207.6	 loss 0.198774	 14.4s
Ep 55	 reward -14.721	 ms 206.1	 loss 0.366856	 15.9s
Ep 56	 reward -14.993	 ms 209.9	 loss 0.416802	 15.1s
Ep 57	 reward -14.721	 ms 206.1	 loss 0.294675	 15.7s
Ep 58	 reward -14.700	 ms 205.8	 loss 0.413856	 15.4s
Ep 59	 reward -14.768	 ms 206.8	 loss 0.418426	 15.0s
Ep 60	 reward -14.571	 ms 204.0	 loss 0.313770	 15.0s
Ep 61	 reward -15.121	 ms 211.7	 loss 0.333921	 15.4s
Ep 62	 reward -15.096	 ms 211.3	 loss 0.419589	 14.6s
Ep 63	 reward -15.057	 ms 210.8	 loss 0.390232	 16.0s
Ep 64	 reward -15.096	 ms 211.3	 loss 0.313002	 15.9s
Ep 65	 reward -15.186	 ms 212.6	 loss 0.413120	 15.8s
Ep 66	 reward -14.964	 ms 209.5	 loss 0.320813	 14.6s
Ep 67	 reward -15.032	 ms 210.4	 loss 0.303039	 14.9s
Ep 68	 reward -15.211	 ms 212.9	 loss 0.270584	 16.1s
Ep 69	 reward -14.900	 ms 208.6	 loss 0.339466	 14.7s
Ep 70	 reward -15.032	 ms 210.4	 loss 0.398575	 15.7s
Ep 71	 reward -14.907	 ms 208.7	 loss 0.243530	 14.9s
Ep 72	 reward -14.936	 ms 209.1	 loss 0.286687	 14.4s
Ep 73	 reward -14.975	 ms 209.7	 loss 0.303317	 12.9s
Ep 74	 reward -14.950	 ms 209.3	 loss 0.384793	 12.8s
[vali @75] rel=0.8440 (best 0.8440)  S=202.9
Ep 75	 reward -14.739	 ms 206.3	 loss 0.322918	 23.9s
Ep 76	 reward -15.132	 ms 211.8	 loss 0.423136	 12.7s
Ep 77	 reward -14.971	 ms 209.6	 loss 0.208295	 13.8s
Ep 78	 reward -14.893	 ms 208.5	 loss 0.361281	 14.0s
Ep 79	 reward -15.011	 ms 210.2	 loss 0.409517	 14.8s
Ep 80	 reward -15.011	 ms 210.2	 loss 0.208976	 13.6s
Ep 81	 reward -15.104	 ms 211.4	 loss 0.252280	 13.8s
