[vali] MWKR norms: S=240.4
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-S regimes=['S'] updates=1000
Ep 1	 reward -14.200	 ms 198.8	 loss 1.342374	 29.7s
Ep 2	 reward -14.393	 ms 201.5	 loss 1.111797	 26.1s
Ep 3	 reward -14.321	 ms 200.5	 loss 1.094819	 27.9s
Ep 4	 reward -14.193	 ms 198.7	 loss 1.105551	 25.2s
Ep 5	 reward -14.189	 ms 198.7	 loss 0.968937	 26.3s
Ep 6	 reward -14.129	 ms 197.8	 loss 1.064596	 26.0s
Ep 7	 reward -14.143	 ms 198.0	 loss 1.114551	 21.2s
Ep 8	 reward -14.164	 ms 198.3	 loss 0.904411	 23.4s
Ep 9	 reward -14.336	 ms 200.7	 loss 0.742032	 27.4s
Ep 10	 reward -14.139	 ms 197.9	 loss 0.717714	 26.0s
Ep 11	 reward -14.261	 ms 199.7	 loss 0.615795	 27.6s
Ep 12	 reward -14.264	 ms 199.7	 loss 0.507565	 26.0s
Ep 13	 reward -14.118	 ms 197.7	 loss 0.418479	 26.1s
Ep 14	 reward -14.114	 ms 197.6	 loss 0.352337	 26.4s
Ep 15	 reward -14.129	 ms 197.8	 loss 0.464598	 27.2s
Ep 16	 reward -14.111	 ms 197.6	 loss 0.313500	 24.5s
Ep 17	 reward -14.300	 ms 200.2	 loss 0.316853	 28.1s
Ep 18	 reward -14.193	 ms 198.7	 loss 0.273574	 24.3s
Ep 19	 reward -14.129	 ms 197.8	 loss 0.386466	 25.7s
Ep 20	 reward -14.232	 ms 199.2	 loss 0.291025	 26.0s
Ep 21	 reward -14.189	 ms 198.7	 loss 0.406558	 27.1s
Ep 22	 reward -14.343	 ms 200.8	 loss 0.282160	 26.1s
Ep 23	 reward -14.325	 ms 200.6	 loss 0.349289	 26.2s
Ep 24	 reward -14.246	 ms 199.4	 loss 0.312207	 26.5s
[vali @25] rel=0.8255 (best 0.8255)  S=198.4
Ep 25	 reward -14.250	 ms 199.5	 loss 0.339597	 48.9s
Ep 26	 reward -14.196	 ms 198.8	 loss 0.278836	 26.8s
Ep 27	 reward -14.232	 ms 199.2	 loss 0.317939	 23.4s
Ep 28	 reward -14.386	 ms 201.4	 loss 0.336998	 26.8s
Ep 29	 reward -14.361	 ms 201.1	 loss 0.251578	 22.8s
Ep 30	 reward -14.318	 ms 200.4	 loss 0.242775	 27.3s
Ep 31	 reward -14.361	 ms 201.1	 loss 0.285601	 27.3s
Ep 32	 reward -14.161	 ms 198.2	 loss 0.315020	 27.1s
