[vali] MWKR norms: SW=278.1
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-SW-s303 regimes=['SW'] updates=1000
Ep 1	 reward -16.436	 ms 230.1	 loss 3.091161	 13.0s
Ep 2	 reward -16.339	 ms 228.8	 loss 2.383887	 10.9s
Ep 3	 reward -16.129	 ms 225.8	 loss 2.351524	 11.9s
Ep 4	 reward -16.236	 ms 227.3	 loss 2.766723	 12.2s
Ep 5	 reward -16.250	 ms 227.5	 loss 3.088003	 11.3s
Ep 6	 reward -16.193	 ms 226.7	 loss 2.854246	 12.1s
Ep 7	 reward -16.136	 ms 225.9	 loss 2.402799	 11.7s
Ep 8	 reward -16.368	 ms 229.2	 loss 2.050789	 11.6s
Ep 9	 reward -16.114	 ms 225.6	 loss 1.811097	 12.0s
Ep 10	 reward -16.307	 ms 228.3	 loss 1.496625	 11.9s
Ep 11	 reward -16.161	 ms 226.2	 loss 1.164430	 12.1s
Ep 12	 reward -16.086	 ms 225.2	 loss 1.037686	 12.0s
Ep 13	 reward -16.204	 ms 226.8	 loss 0.947577	 12.2s
Ep 14	 reward -16.364	 ms 229.1	 loss 0.918917	 12.0s
Ep 15	 reward -16.086	 ms 225.2	 loss 0.867031	 12.4s
Ep 16	 reward -16.121	 ms 225.7	 loss 0.668931	 11.5s
Ep 17	 reward -16.339	 ms 228.8	 loss 0.626361	 11.2s
Ep 18	 reward -16.186	 ms 226.6	 loss 0.565843	 10.6s
Ep 19	 reward -16.250	 ms 227.5	 loss 0.555304	 10.8s
Ep 20	 reward -16.111	 ms 225.6	 loss 0.547338	 11.0s
Ep 21	 reward -16.257	 ms 227.6	 loss 0.750980	 10.4s
Ep 22	 reward -16.225	 ms 227.2	 loss 0.675290	 10.5s
Ep 23	 reward -16.011	 ms 224.2	 loss 0.742726	 10.8s
Ep 24	 reward -16.314	 ms 228.4	 loss 0.780870	 10.7s
[vali @25] rel=0.7851 (best 0.7851)  SW=218.3
Ep 25	 reward -16.300	 ms 228.2	 loss 0.614619	 18.8s
Ep 26	 reward -16.232	 ms 227.2	 loss 0.490122	 12.4s
Ep 27	 reward -16.146	 ms 226.1	 loss 0.732061	 11.4s
Ep 28	 reward -16.218	 ms 227.1	 loss 0.575317	 11.0s
Ep 29	 reward -16.107	 ms 225.5	 loss 0.628292	 11.1s
Ep 30	 reward -16.104	 ms 225.4	 loss 0.561875	 10.7s
Ep 31	 reward -16.200	 ms 226.8	 loss 0.637760	 10.7s
