[vali] MWKR norms: SW=278.1
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-SW regimes=['SW'] updates=1000
Ep 1	 reward -15.900	 ms 222.6	 loss 2.647501	 26.8s
Ep 2	 reward -15.986	 ms 223.8	 loss 1.933878	 24.5s
Ep 3	 reward -16.068	 ms 224.9	 loss 1.835702	 25.4s
Ep 4	 reward -15.950	 ms 223.3	 loss 2.354939	 25.4s
Ep 5	 reward -16.086	 ms 225.2	 loss 2.096567	 25.9s
Ep 6	 reward -15.982	 ms 223.8	 loss 2.140654	 24.7s
Ep 7	 reward -16.039	 ms 224.6	 loss 2.524490	 25.7s
Ep 8	 reward -16.100	 ms 225.4	 loss 1.881680	 23.5s
Ep 9	 reward -15.979	 ms 223.7	 loss 1.506694	 29.0s
Ep 10	 reward -16.011	 ms 224.2	 loss 1.217200	 28.8s
Ep 11	 reward -16.071	 ms 225.0	 loss 1.148530	 27.8s
Ep 12	 reward -16.071	 ms 225.0	 loss 0.994989	 28.1s
Ep 13	 reward -16.143	 ms 226.0	 loss 0.932458	 29.0s
Ep 14	 reward -16.161	 ms 226.2	 loss 0.737867	 27.2s
Ep 15	 reward -16.000	 ms 224.0	 loss 0.700118	 30.0s
Ep 16	 reward -15.989	 ms 223.8	 loss 0.729846	 29.2s
Ep 17	 reward -16.086	 ms 225.2	 loss 0.571472	 28.9s
Ep 18	 reward -16.171	 ms 226.4	 loss 0.580465	 27.6s
Ep 19	 reward -15.964	 ms 223.5	 loss 0.581776	 29.5s
Ep 20	 reward -15.971	 ms 223.6	 loss 0.560085	 29.7s
Ep 21	 reward -16.236	 ms 227.3	 loss 0.752168	 28.9s
Ep 22	 reward -16.061	 ms 224.8	 loss 0.605480	 30.2s
Ep 23	 reward -16.064	 ms 224.9	 loss 0.610061	 29.2s
Ep 24	 reward -16.054	 ms 224.8	 loss 0.647285	 30.1s
[vali @25] rel=0.7826 (best 0.7826)  SW=217.7
Ep 25	 reward -16.146	 ms 226.1	 loss 0.600103	 53.5s
Ep 26	 reward -16.068	 ms 224.9	 loss 0.604511	 27.5s
Ep 27	 reward -15.946	 ms 223.2	 loss 0.519703	 29.7s
Ep 28	 reward -15.993	 ms 223.9	 loss 0.562188	 28.2s
Ep 29	 reward -16.068	 ms 224.9	 loss 0.519769	 28.5s
Ep 30	 reward -15.993	 ms 223.9	 loss 0.502055	 29.5s
Ep 31	 reward -15.971	 ms 223.6	 loss 0.463159	 31.0s
Ep 32	 reward -16.036	 ms 224.5	 loss 0.507536	 32.8s
Ep 33	 reward -15.989	 ms 223.8	 loss 0.479599	 32.5s
Ep 34	 reward -16.129	 ms 225.8	 loss 0.465637	 33.7s
Ep 35	 reward -16.118	 ms 225.7	 loss 0.445090	 33.0s
Ep 36	 reward -16.011	 ms 224.2	 loss 0.586006	 32.3s
Ep 37	 reward -15.936	 ms 223.1	 loss 0.442936	 32.0s
Ep 38	 reward -16.061	 ms 224.8	 loss 0.434475	 32.4s
Ep 39	 reward -16.143	 ms 226.0	 loss 0.388881	 32.5s
Ep 40	 reward -15.954	 ms 223.3	 loss 0.432447	 34.1s
Ep 41	 reward -16.407	 ms 229.7	 loss 0.713551	 33.7s
Ep 42	 reward -16.257	 ms 227.6	 loss 0.393583	 31.8s
Ep 43	 reward -16.311	 ms 228.3	 loss 0.343480	 32.5s
Ep 44	 reward -16.221	 ms 227.1	 loss 0.506732	 32.9s
Ep 45	 reward -16.318	 ms 228.4	 loss 0.371467	 32.8s
Ep 46	 reward -16.193	 ms 226.7	 loss 0.298280	 33.2s
Ep 47	 reward -16.275	 ms 227.8	 loss 0.406368	 33.6s
Ep 48	 reward -15.932	 ms 223.1	 loss 0.394423	 32.5s
Ep 49	 reward -16.239	 ms 227.3	 loss 0.512835	 34.3s
[vali @50] rel=0.7821 (best 0.7821)  SW=217.5
Ep 50	 reward -16.036	 ms 224.5	 loss 0.302520	 62.1s
Ep 51	 reward -16.200	 ms 226.8	 loss 0.392450	 30.8s
Ep 52	 reward -16.204	 ms 226.8	 loss 0.375913	 31.4s
Ep 53	 reward -16.239	 ms 227.3	 loss 0.566905	 32.2s
Ep 54	 reward -16.175	 ms 226.4	 loss 0.393664	 31.0s
Ep 55	 reward -16.364	 ms 229.1	 loss 0.407681	 32.9s
Ep 56	 reward -16.150	 ms 226.1	 loss 0.297306	 33.4s
Ep 57	 reward -16.229	 ms 227.2	 loss 0.478813	 33.3s
Ep 58	 reward -16.457	 ms 230.4	 loss 0.386080	 32.3s
Ep 59	 reward -16.271	 ms 227.8	 loss 0.377217	 34.6s
Ep 60	 reward -16.300	 ms 228.2	 loss 0.438939	 31.7s
Ep 61	 reward -16.111	 ms 225.6	 loss 0.404858	 31.2s
Ep 62	 reward -16.175	 ms 226.4	 loss 0.411481	 31.9s
Ep 63	 reward -16.246	 ms 227.4	 loss 0.344526	 31.6s
