[train_family] forcing data_source=FAMILY
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: W=177.7
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-W-third-s303 regimes=['W'] updates=333
Ep 1	 reward -11.575	 ms 162.1	 loss 1.194200	 10.1s
Ep 2	 reward -11.632	 ms 162.8	 loss 0.952826	 9.1s
Ep 3	 reward -11.432	 ms 160.1	 loss 1.116140	 9.1s
Ep 4	 reward -11.400	 ms 159.6	 loss 1.321113	 9.3s
Ep 5	 reward -11.436	 ms 160.1	 loss 1.107027	 9.2s
Ep 6	 reward -11.396	 ms 159.6	 loss 0.800488	 9.1s
Ep 7	 reward -11.611	 ms 162.6	 loss 0.753832	 9.3s
Ep 8	 reward -11.450	 ms 160.3	 loss 0.666711	 9.2s
Ep 9	 reward -11.789	 ms 165.1	 loss 0.710235	 9.1s
Ep 10	 reward -11.532	 ms 161.4	 loss 0.524751	 9.2s
Ep 11	 reward -11.414	 ms 159.8	 loss 0.389501	 9.1s
Ep 12	 reward -11.496	 ms 160.9	 loss 0.317790	 9.5s
Ep 13	 reward -11.550	 ms 161.7	 loss 0.378581	 9.3s
Ep 14	 reward -11.668	 ms 163.3	 loss 0.308282	 9.3s
Ep 15	 reward -11.546	 ms 161.7	 loss 0.253895	 9.2s
Ep 16	 reward -11.632	 ms 162.8	 loss 0.190453	 9.4s
Ep 17	 reward -11.504	 ms 161.1	 loss 0.207773	 9.3s
Ep 18	 reward -11.589	 ms 162.2	 loss 0.191283	 9.0s
Ep 19	 reward -11.400	 ms 159.6	 loss 0.166665	 9.3s
Ep 20	 reward -11.600	 ms 162.4	 loss 0.131508	 8.9s
Ep 21	 reward -11.468	 ms 160.6	 loss 0.286572	 9.2s
Ep 22	 reward -11.614	 ms 162.6	 loss 0.203158	 9.2s
Ep 23	 reward -11.889	 ms 166.4	 loss 0.224405	 9.2s
Ep 24	 reward -11.614	 ms 162.6	 loss 0.306493	 9.3s
[vali @25] rel=0.9916 (best 0.9916)  W=176.2
Ep 25	 reward -11.761	 ms 164.7	 loss 0.128940	 16.6s
Ep 26	 reward -11.807	 ms 165.3	 loss 0.284912	 9.1s
Ep 27	 reward -11.879	 ms 166.3	 loss 0.166224	 9.5s
Ep 28	 reward -11.600	 ms 162.4	 loss 0.230182	 9.2s
Ep 29	 reward -11.468	 ms 160.6	 loss 0.224977	 10.7s
Ep 30	 reward -11.518	 ms 161.2	 loss 0.187317	 11.9s
Ep 31	 reward -11.721	 ms 164.1	 loss 0.238151	 12.6s
Ep 32	 reward -11.682	 ms 163.6	 loss 0.384220	 12.5s
Ep 33	 reward -11.718	 ms 164.1	 loss 0.098008	 12.2s
Ep 34	 reward -11.786	 ms 165.0	 loss 0.348863	 12.2s
Ep 35	 reward -11.868	 ms 166.2	 loss 0.042391	 10.3s
Ep 36	 reward -11.986	 ms 167.8	 loss 0.030525	 9.9s
Ep 37	 reward -11.864	 ms 166.1	 loss 0.212004	 9.5s
Ep 38	 reward -12.093	 ms 169.3	 loss 0.175806	 9.1s
Ep 39	 reward -12.046	 ms 168.7	 loss 0.089063	 9.1s
Ep 40	 reward -11.886	 ms 166.4	 loss 0.088626	 11.2s
Ep 41	 reward -11.907	 ms 166.7	 loss 0.276393	 12.3s
Ep 42	 reward -11.989	 ms 167.8	 loss 0.228402	 12.8s
Ep 43	 reward -12.100	 ms 169.4	 loss 0.218388	 13.0s
Ep 44	 reward -11.986	 ms 167.8	 loss 0.160005	 13.2s
Ep 45	 reward -12.014	 ms 168.2	 loss 0.118399	 14.0s
Ep 46	 reward -12.314	 ms 172.4	 loss 0.186034	 12.8s
Ep 47	 reward -11.957	 ms 167.4	 loss 0.111646	 13.0s
Ep 48	 reward -11.971	 ms 167.6	 loss 0.176013	 13.8s
Ep 49	 reward -11.954	 ms 167.3	 loss 0.163470	 13.8s
[vali @50] rel=0.8680 (best 0.8680)  W=154.2
Ep 50	 reward -11.871	 ms 166.2	 loss 0.209214	 24.8s
Ep 51	 reward -11.789	 ms 165.1	 loss 0.131118	 12.5s
Ep 52	 reward -11.514	 ms 161.2	 loss 0.195596	 14.1s
Ep 53	 reward -11.536	 ms 161.5	 loss 0.119185	 13.1s
Ep 54	 reward -11.629	 ms 162.8	 loss 0.120719	 13.8s
Ep 55	 reward -11.464	 ms 160.5	 loss 0.114032	 13.3s
Ep 56	 reward -11.571	 ms 162.0	 loss 0.114280	 12.0s
Ep 57	 reward -11.646	 ms 163.1	 loss 0.124309	 13.2s
Ep 58	 reward -11.507	 ms 161.1	 loss 0.135024	 12.7s
Ep 59	 reward -11.550	 ms 161.7	 loss 0.190785	 14.3s
Ep 60	 reward -11.682	 ms 163.6	 loss 0.131369	 12.7s
Ep 61	 reward -11.582	 ms 162.2	 loss 0.064528	 14.5s
Ep 62	 reward -11.557	 ms 161.8	 loss 0.116022	 12.5s
Ep 63	 reward -11.721	 ms 164.1	 loss 0.067847	 12.6s
Ep 64	 reward -11.761	 ms 164.7	 loss 0.031519	 13.0s
Ep 65	 reward -11.864	 ms 166.1	 loss 0.170343	 13.5s
Ep 66	 reward -11.529	 ms 161.4	 loss 0.011003	 14.1s
Ep 67	 reward -11.532	 ms 161.4	 loss 0.065485	 12.5s
Ep 68	 reward -11.593	 ms 162.3	 loss 0.097646	 12.5s
Ep 69	 reward -11.650	 ms 163.1	 loss 0.088344	 12.4s
Ep 70	 reward -11.432	 ms 160.1	 loss 0.007839	 12.7s
Ep 71	 reward -11.632	 ms 162.8	 loss 0.109505	 10.1s
Ep 72	 reward -11.536	 ms 161.5	 loss 0.023277	 9.5s
Ep 73	 reward -11.607	 ms 162.5	 loss 0.080178	 8.6s
Ep 74	 reward -11.543	 ms 161.6	 loss 0.018213	 9.0s
[vali @75] rel=0.8508 (best 0.8508)  W=151.2
Ep 75	 reward -11.479	 ms 160.7	 loss 0.041150	 17.3s
Ep 76	 reward -11.521	 ms 161.3	 loss 0.021208	 9.8s
Ep 77	 reward -11.461	 ms 160.4	 loss 0.016611	 9.5s
Ep 78	 reward -11.336	 ms 158.7	 loss -0.015039	 9.2s
Ep 79	 reward -11.350	 ms 158.9	 loss -0.045635	 8.3s
Ep 80	 reward -11.446	 ms 160.2	 loss 0.102305	 9.2s
Ep 81	 reward -11.282	 ms 157.9	 loss 0.061747	 9.6s
Ep 82	 reward -11.264	 ms 157.7	 loss 0.084156	 9.9s
Ep 83	 reward -11.261	 ms 157.7	 loss 0.026761	 9.6s
Ep 84	 reward -11.193	 ms 156.7	 loss 0.104658	 9.8s
Ep 85	 reward -11.346	 ms 158.8	 loss 0.010616	 9.5s
Ep 86	 reward -11.257	 ms 157.6	 loss 0.091067	 9.3s
