[train_family] forcing data_source=FAMILY
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: W=177.7
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-W-third regimes=['W'] updates=333
Ep 1	 reward -11.518	 ms 161.2	 loss 1.283623	 7.1s
Ep 2	 reward -11.539	 ms 161.6	 loss 0.961211	 6.8s
Ep 3	 reward -11.621	 ms 162.7	 loss 0.964994	 6.7s
Ep 4	 reward -11.786	 ms 165.0	 loss 1.148640	 6.7s
Ep 5	 reward -11.593	 ms 162.3	 loss 1.039981	 6.7s
Ep 6	 reward -11.536	 ms 161.5	 loss 1.098257	 6.6s
Ep 7	 reward -11.361	 ms 159.1	 loss 1.005055	 6.7s
Ep 8	 reward -11.479	 ms 160.7	 loss 0.878289	 6.8s
Ep 9	 reward -11.457	 ms 160.4	 loss 0.776466	 6.7s
Ep 10	 reward -11.539	 ms 161.6	 loss 0.677643	 6.8s
Ep 11	 reward -11.518	 ms 161.2	 loss 0.517545	 6.8s
Ep 12	 reward -11.761	 ms 164.7	 loss 0.506921	 6.7s
Ep 13	 reward -11.582	 ms 162.2	 loss 0.373147	 6.6s
Ep 14	 reward -11.675	 ms 163.4	 loss 0.323856	 6.8s
Ep 15	 reward -11.775	 ms 164.8	 loss 0.333483	 6.5s
Ep 16	 reward -11.825	 ms 165.6	 loss 0.322314	 6.6s
Ep 17	 reward -11.982	 ms 167.8	 loss 0.416101	 6.5s
Ep 18	 reward -11.846	 ms 165.8	 loss 0.266048	 6.7s
Ep 19	 reward -11.836	 ms 165.7	 loss 0.238235	 6.7s
Ep 20	 reward -11.775	 ms 164.8	 loss 0.326360	 6.8s
Ep 21	 reward -12.057	 ms 168.8	 loss 0.388132	 6.8s
Ep 22	 reward -11.843	 ms 165.8	 loss 0.372729	 6.8s
Ep 23	 reward -11.796	 ms 165.2	 loss 0.259982	 6.8s
Ep 24	 reward -11.857	 ms 166.0	 loss 0.344688	 6.6s
[vali @25] rel=0.9125 (best 0.9125)  W=162.1
Ep 25	 reward -11.739	 ms 164.3	 loss 0.310423	 11.4s
Ep 26	 reward -11.782	 ms 164.9	 loss 0.393426	 6.7s
Ep 27	 reward -11.607	 ms 162.5	 loss 0.164419	 6.6s
Ep 28	 reward -11.632	 ms 162.8	 loss 0.314218	 6.7s
Ep 29	 reward -11.682	 ms 163.6	 loss 0.400324	 6.7s
Ep 30	 reward -11.654	 ms 163.2	 loss 0.181401	 6.7s
Ep 31	 reward -11.736	 ms 164.3	 loss 0.275517	 6.7s
Ep 32	 reward -11.564	 ms 161.9	 loss 0.160536	 6.6s
Ep 33	 reward -11.536	 ms 161.5	 loss 0.267890	 6.7s
Ep 34	 reward -11.457	 ms 160.4	 loss 0.104836	 6.7s
Ep 35	 reward -11.450	 ms 160.3	 loss 0.333869	 6.6s
Ep 36	 reward -11.500	 ms 161.0	 loss 0.195314	 6.8s
Ep 37	 reward -11.486	 ms 160.8	 loss 0.151108	 6.7s
Ep 38	 reward -11.407	 ms 159.7	 loss 0.213556	 6.7s
Ep 39	 reward -11.393	 ms 159.5	 loss 0.234287	 6.7s
Ep 40	 reward -11.471	 ms 160.6	 loss 0.139958	 6.7s
Ep 41	 reward -11.768	 ms 164.8	 loss 0.359919	 6.8s
Ep 42	 reward -11.621	 ms 162.7	 loss 0.255584	 6.8s
Ep 43	 reward -11.596	 ms 162.3	 loss 0.257252	 6.7s
Ep 44	 reward -11.714	 ms 164.0	 loss 0.256064	 6.7s
Ep 45	 reward -11.643	 ms 163.0	 loss 0.267154	 6.6s
Ep 46	 reward -11.425	 ms 159.9	 loss 0.298267	 6.7s
Ep 47	 reward -11.736	 ms 164.3	 loss 0.514651	 6.8s
Ep 48	 reward -11.571	 ms 162.0	 loss 0.280051	 6.6s
Ep 49	 reward -11.600	 ms 162.4	 loss 0.333189	 6.8s
[vali @50] rel=0.8517 (best 0.8517)  W=151.3
Ep 50	 reward -11.461	 ms 160.4	 loss 0.151476	 11.5s
Ep 51	 reward -11.357	 ms 159.0	 loss 0.223515	 6.6s
Ep 52	 reward -11.421	 ms 159.9	 loss 0.233811	 6.8s
Ep 53	 reward -11.564	 ms 161.9	 loss 0.208743	 6.7s
Ep 54	 reward -11.443	 ms 160.2	 loss 0.329450	 6.7s
Ep 55	 reward -11.361	 ms 159.1	 loss 0.249843	 6.7s
Ep 56	 reward -11.489	 ms 160.8	 loss 0.332291	 6.8s
Ep 57	 reward -11.261	 ms 157.7	 loss 0.122636	 6.8s
Ep 58	 reward -11.271	 ms 157.8	 loss 0.184752	 6.6s
Ep 59	 reward -11.232	 ms 157.2	 loss 0.145289	 6.7s
Ep 60	 reward -11.289	 ms 158.1	 loss 0.251518	 6.7s
Ep 61	 reward -11.189	 ms 156.7	 loss 0.103922	 6.7s
Ep 62	 reward -11.225	 ms 157.2	 loss 0.138265	 6.8s
Ep 63	 reward -11.061	 ms 154.8	 loss 0.109849	 6.6s
Ep 64	 reward -11.146	 ms 156.1	 loss 0.222886	 6.8s
Ep 65	 reward -11.071	 ms 155.0	 loss 0.077031	 6.7s
Ep 66	 reward -11.096	 ms 155.3	 loss 0.043631	 6.7s
Ep 67	 reward -11.057	 ms 154.8	 loss -0.011502	 6.6s
Ep 68	 reward -11.104	 ms 155.4	 loss -0.004235	 6.8s
Ep 69	 reward -11.021	 ms 154.3	 loss 0.084169	 6.9s
Ep 70	 reward -10.886	 ms 152.4	 loss 0.084261	 6.7s
Ep 71	 reward -11.046	 ms 154.7	 loss 0.089311	 6.6s
Ep 72	 reward -11.079	 ms 155.1	 loss 0.079207	 6.6s
Ep 73	 reward -11.064	 ms 154.9	 loss 0.112913	 6.9s
Ep 74	 reward -11.121	 ms 155.7	 loss 0.072996	 6.8s
[vali @75] rel=0.8460 (best 0.8460)  W=150.3
Ep 75	 reward -10.954	 ms 153.3	 loss 0.034857	 11.4s
Ep 76	 reward -11.046	 ms 154.7	 loss 0.088522	 6.6s
Ep 77	 reward -11.054	 ms 154.8	 loss 0.122905	 6.6s
Ep 78	 reward -11.125	 ms 155.8	 loss 0.077706	 6.7s
Ep 79	 reward -11.032	 ms 154.4	 loss 0.057286	 6.6s
Ep 80	 reward -11.089	 ms 155.2	 loss 0.037479	 6.7s
Ep 81	 reward -11.096	 ms 155.3	 loss 0.059871	 6.8s
Ep 82	 reward -11.114	 ms 155.6	 loss 0.175477	 6.7s
Ep 83	 reward -11.129	 ms 155.8	 loss 0.150956	 6.7s
Ep 84	 reward -11.029	 ms 154.4	 loss 0.138648	 6.7s
Ep 85	 reward -11.071	 ms 155.0	 loss 0.233499	 6.7s
Ep 86	 reward -11.039	 ms 154.6	 loss 0.155553	 6.7s
Ep 87	 reward -11.061	 ms 154.8	 loss 0.159632	 6.7s
Ep 88	 reward -11.079	 ms 155.1	 loss 0.016893	 6.7s
Ep 89	 reward -11.157	 ms 156.2	 loss 0.034480	 6.8s
Ep 90	 reward -11.096	 ms 155.3	 loss 0.082065	 6.6s
Ep 91	 reward -11.121	 ms 155.7	 loss 0.149717	 6.6s
Ep 92	 reward -11.039	 ms 154.6	 loss 0.019229	 6.8s
Ep 93	 reward -11.075	 ms 155.1	 loss 0.163178	 6.7s
Ep 94	 reward -11.086	 ms 155.2	 loss 0.209156	 6.6s
Ep 95	 reward -11.143	 ms 156.0	 loss 0.194006	 6.6s
Ep 96	 reward -11.018	 ms 154.2	 loss 0.117063	 6.6s
Ep 97	 reward -11.104	 ms 155.4	 loss 0.101625	 6.8s
Ep 98	 reward -11.025	 ms 154.3	 loss 0.095903	 6.7s
Ep 99	 reward -10.921	 ms 152.9	 loss 0.152878	 6.7s
[vali @100] rel=0.8351 (best 0.8351)  W=148.3
Ep 100	 reward -11.114	 ms 155.6	 loss 0.165796	 11.7s
Ep 101	 reward -10.900	 ms 152.6	 loss 0.088802	 6.8s
Ep 102	 reward -10.879	 ms 152.3	 loss 0.021044	 6.6s
Ep 103	 reward -10.925	 ms 152.9	 loss 0.091486	 6.7s
Ep 104	 reward -10.875	 ms 152.2	 loss 0.077972	 6.9s
Ep 105	 reward -10.904	 ms 152.7	 loss 0.112797	 6.7s
Ep 106	 reward -10.839	 ms 151.8	 loss 0.171790	 6.7s
Ep 107	 reward -10.814	 ms 151.4	 loss 0.148856	 6.7s
Ep 108	 reward -10.807	 ms 151.3	 loss 0.098650	 6.7s
Ep 109	 reward -10.757	 ms 150.6	 loss 0.199257	 6.9s
Ep 110	 reward -10.900	 ms 152.6	 loss 0.231020	 6.6s
Ep 111	 reward -10.818	 ms 151.4	 loss 0.045019	 6.7s
Ep 112	 reward -10.889	 ms 152.4	 loss 0.159372	 6.7s
Ep 113	 reward -10.961	 ms 153.4	 loss 0.141374	 6.7s
