[vali] MWKR norms: W=186.3
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-W regimes=['W'] updates=1000
Ep 1	 reward -11.518	 ms 161.2	 loss 1.283623	 28.5s
Ep 2	 reward -11.539	 ms 161.6	 loss 0.961211	 27.0s
Ep 3	 reward -11.621	 ms 162.7	 loss 0.964994	 26.9s
Ep 4	 reward -11.786	 ms 165.0	 loss 1.148640	 27.1s
Ep 5	 reward -11.593	 ms 162.3	 loss 1.039981	 25.9s
Ep 6	 reward -11.536	 ms 161.5	 loss 1.098257	 27.4s
Ep 7	 reward -11.361	 ms 159.1	 loss 1.005055	 28.5s
Ep 8	 reward -11.479	 ms 160.7	 loss 0.878289	 25.7s
Ep 9	 reward -11.457	 ms 160.4	 loss 0.776466	 26.9s
Ep 10	 reward -11.539	 ms 161.6	 loss 0.677643	 25.8s
Ep 11	 reward -11.518	 ms 161.2	 loss 0.517545	 26.7s
Ep 12	 reward -11.761	 ms 164.7	 loss 0.506921	 26.7s
Ep 13	 reward -11.582	 ms 162.2	 loss 0.373147	 27.8s
Ep 14	 reward -11.675	 ms 163.4	 loss 0.323855	 27.4s
Ep 15	 reward -11.775	 ms 164.8	 loss 0.333482	 26.1s
Ep 16	 reward -11.825	 ms 165.6	 loss 0.322314	 26.6s
Ep 17	 reward -11.982	 ms 167.8	 loss 0.416105	 27.1s
Ep 18	 reward -11.846	 ms 165.8	 loss 0.266050	 26.0s
Ep 19	 reward -11.836	 ms 165.7	 loss 0.238241	 24.6s
Ep 20	 reward -11.775	 ms 164.8	 loss 0.326361	 25.5s
Ep 21	 reward -12.057	 ms 168.8	 loss 0.388135	 27.1s
Ep 22	 reward -11.850	 ms 165.9	 loss 0.370351	 26.0s
Ep 23	 reward -11.743	 ms 164.4	 loss 0.250787	 27.0s
Ep 24	 reward -11.886	 ms 166.4	 loss 0.371404	 26.9s
[vali @25] rel=0.8932 (best 0.8932)  W=166.4
Ep 25	 reward -11.714	 ms 164.0	 loss 0.336547	 50.9s
Ep 26	 reward -11.807	 ms 165.3	 loss 0.300194	 28.6s
Ep 27	 reward -11.746	 ms 164.4	 loss 0.288415	 27.0s
Ep 28	 reward -11.464	 ms 160.5	 loss 0.308014	 27.4s
Ep 29	 reward -11.679	 ms 163.5	 loss 0.425206	 26.2s
Ep 30	 reward -11.657	 ms 163.2	 loss 0.257307	 25.4s
Ep 31	 reward -11.629	 ms 162.8	 loss 0.308667	 27.0s
Ep 32	 reward -11.743	 ms 164.4	 loss 0.178711	 24.2s
Ep 33	 reward -11.568	 ms 161.9	 loss 0.200079	 27.6s
Ep 34	 reward -11.725	 ms 164.2	 loss 0.240648	 27.5s
Ep 35	 reward -11.775	 ms 164.8	 loss 0.271926	 27.0s
Ep 36	 reward -11.643	 ms 163.0	 loss 0.187201	 26.5s
Ep 37	 reward -11.232	 ms 157.2	 loss 0.114005	 27.5s
Ep 38	 reward -11.429	 ms 160.0	 loss 0.411937	 25.1s
Ep 39	 reward -11.546	 ms 161.7	 loss 0.199220	 26.5s
Ep 40	 reward -11.411	 ms 159.8	 loss 0.140524	 27.1s
Ep 41	 reward -11.550	 ms 161.7	 loss 0.361596	 24.3s
Ep 42	 reward -11.325	 ms 158.6	 loss 0.167274	 27.1s
Ep 43	 reward -11.429	 ms 160.0	 loss 0.218001	 25.4s
Ep 44	 reward -11.396	 ms 159.6	 loss 0.310723	 27.4s
Ep 45	 reward -11.254	 ms 157.6	 loss 0.338185	 28.4s
Ep 46	 reward -11.186	 ms 156.6	 loss 0.231048	 28.3s
Ep 47	 reward -11.307	 ms 158.3	 loss 0.244611	 27.3s
Ep 48	 reward -11.332	 ms 158.7	 loss 0.285091	 26.8s
Ep 49	 reward -11.264	 ms 157.7	 loss 0.206624	 25.4s
[vali @50] rel=0.8038 (best 0.8038)  W=149.8
Ep 50	 reward -11.257	 ms 157.6	 loss 0.175113	 52.2s
Ep 51	 reward -11.118	 ms 155.7	 loss 0.279164	 24.1s
Ep 52	 reward -11.254	 ms 157.6	 loss 0.209077	 27.4s
Ep 53	 reward -11.186	 ms 156.6	 loss 0.080509	 26.9s
Ep 54	 reward -11.136	 ms 155.9	 loss 0.098376	 24.1s
Ep 55	 reward -11.075	 ms 155.1	 loss 0.028453	 25.4s
Ep 56	 reward -11.139	 ms 155.9	 loss 0.103867	 27.1s
